t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz  
201498591 26 52 52 1 28 1 22 1164 -144 17620 78 -383 -78  
201499591 25 52 53 1 29 1 23 1044 -512 18376 118 -360 -182  
201500591 25 53 55 1 27 1 25 692 408 17796 49 -379 -191  
201501591 25 52 54 1 27 1 22 756 2608 19188 59 -347 -57  
201502591 26 53 52 1 27 1 22 1180 -896 17132 129 -425 -87  
201503591 26 52 56 1 27 1 24 1572 -380 18672 102 -360 -202  
201504591 26 51 51 1 27 1 23 640 1312 17584 31 -391 -104  
201505591 26 51 52 1 27 1 25 728 1748 19468 77 -386 -39  
201506591 25 51 52 1 27 1 20 1860 -1328 17480 64 -383 -167  
201507591 26 51 62 1 26 1 25 1568 -452 18584 140 -414 -218  
201508591 25 52 52 1 26 1 23 624 1564 17560 136 -364 -107  
201509591 26 52 54 1 27 1 23 588 1252 18864 72 -405 -44  
201510591 25 52 52 1 28 1 22 1372 -332 17724 19 -355 -39  
201511591 27 52 57 1 26 1 22 1176 -1012 18656 44 -399 -189  
201512591 26 53 55 1 27 1 21 1176 220 18124 59 -388 -186  
201513591 24 52 55 1 27 1 22 364 1960 18772 96 -500 -51  
201514591 24 51 52 1 27 1 22 1244 -824 17348 69 -421 -73  
201515591 24 51 49 1 27 1 24 1720 -868 18864 89 -365 -211  
201516591 25 52 51 1 27 1 21 748 1496 17992 27 -334 -164  
201517591 25 51 51 1 29 1 21 432 2228 19248 -30 -417 -57  
201518591 26 53 52 1 27 1 22 1772 -1396 17232 117 -369 -102  
201519591 26 52 52 1 28 1 23 1576 -752 18892 81 -333 -244  
201520591 25 53 52 1 29 1 24 444 2060 17820 67 -341 -105  
201521591 26 52 54 1 27 1 22 456 1544 18784 101 -427 -46  
201522591 25 53 55 1 29 1 25 1248 -728 17916 67 -351 -154  
201523591 25 54 48 1 28 1 22 1316 -488 18456 126 -414 -182  
201524591 25 52 54 1 27 1 21 360 2020 17968 104 -487 -79  
201525591 26 52 54 1 28 1 24 1236 208 17944 41 -367 -87  
201526591 27 52 54 1 27 1 22 1612 -660 18332 52 -406 -180  
201527591 26 51 55 1 27 1 23 1476 672 17788 41 -402 -152  
201528591 25 52 52 1 26 1 22 344 2204 19116 80 -420 -50  
201529591 26 51 58 1 27 1 23 556 2000 19608 114 -369 -15  
201530591 26 52 51 1 26 1 24 1448 -1204 17404 70 -380 -119  
201531591 27 52 55 1 26 1 25 1240 -1000 18720 88 -362 -239  
201532591 26 52 54 1 27 1 23 648 1756 17460 108 -427 -135  
201533591 28 53 57 1 26 1 23 544 1444 19160 15 -425 -45  
201534591 27 51 51 1 26 1 23 1184 -864 17888 91 -406 -138  
201535591 25 52 57 1 27 1 23 1956 -88 18532 73 -410 -218  
201536591 25 50 54 1 27 1 24 184 1800 17728 111 -448 -71  
201537591 26 51 49 1 27 1 23 848 624 18136 55 -361 -72  
201538591 26 51 48 1 28 1 24 1264 -876 18308 62 -396 -171  
201539591 27 51 52 1 26 1 22 1024 688 18132 103 -422 -189  
201540591 28 51 53 1 26 1 24 576 2020 18764 114 -405 -61  
201541591 27 52 58 1 29 1 23 1532 -600 17348 51 -364 -95  
201542591 25 52 54 1 27 1 23 1308 -568 18360 72 -414 -223  
201543591 26 51 55 1 27 1 23 1084 1148 17892 108 -375 -121  
201544591 26 52 55 1 27 1 25 436 1748 19356 64 -431 -8  
201545591 26 51 55 1 26 1 24 1328 -1036 17056 -8 -357 -161  
201546591 27 51 54 1 27 1 21 1364 -1088 18920 80 -319 -257  
201547591 28 51 57 1 27 1 23 1780 -524 18464 102 -393 -254  
201548591 27 51 46 1 29 1 23 244 1852 17824 69 -397 -86  
201549591 26 50 52 1 27 1 23 1136 540 18404 69 -315 -98  
201550591 27 51 57 1 27 1 22 956 -1000 18156 25 -419 -196  
201551591 26 52 56 1 28 1 22 1280 352 18392 89 -360 -201  
201552591 26 51 49 1 29 1 23 692 2004 18476 15 -373 -74  
201553591 27 53 57 1 25 1 24 1420 -424 17480 47 -400 -107  
201554591 26 52 49 1 28 1 23 1376 -1176 18900 33 -371 -226  
201555591 25 52 55 1 25 1 24 1012 1056 18000 101 -362 -149  
201556591 25 51 52 1 29 1 22 816 1560 19168 120 -406 -23  
201557591 24 51 53 1 27 1 24 1560 -972 17180 88 -404 -72  
