172 -170 0 0 0 0 0 740 1040 18880 136 -137 -152 160400
188 -183 0 0 0 0 0 -788 1840 16876 178 -407 -153 160600
276 -270 0 0 0 0 0 -432 2304 17212 134 -635 -199 160800
270 -267 0 0 0 0 0 -1024 1696 16040 231 -412 -178 161000
270 -268 0 0 0 0 0 -924 420 17044 196 -375 -126 161200
275 -271 0 0 0 0 0 -956 8 17424 178 -68 -184 161400
274 -268 0 0 0 0 0 -880 96 16992 181 55 -200 161600
274 -268 0 0 0 0 0 1184 -812 21016 297 -551 -101 161800
18212 99 0 0 0 0 0 17856 274 -269 9286 13088 8702 162000
268 -269 0 0 0 0 0 836 -380 19652 299 -752 -72 162200
275 -265 0 0 0 0 0 -224 1532 18396 160 -562 -142 162400
274 -267 0 0 0 0 0 -76 -588 18632 267 -375 -137 162600
276 -269 0 0 0 0 0 148 1244 19060 188 -662 -174 162800
276 -268 0 0 0 0 0 -1044 792 16176 167 -212 -195 163000
268 -264 0 0 0 0 0 668 600 20352 231 -717 -100 163200
276 -265 0 0 0 0 0 552 -768 19628 351 -569 -85 163400
277 -266 0 0 0 0 0 -244 -424 17776 261 -347 -94 163600
277 -262 0 0 0 0 0 -568 248 16536 188 -302 -194 163800
279 -263 0 0 0 0 0 -1164 392 17252 60 -83 -266 164000
271 -265 0 0 0 0 0 -900 316 17284 98 -192 -165 164200
275 -261 0 0 0 0 0 -636 492 17684 217 -489 -98 164400
276 -262 0 0 0 0 0 -1052 904 15504 290 -299 -163 164600
279 -265 0 0 0 0 0 -1312 484 16856 60 38 -220 164800
278 98 0 0 0 0 0 -1268 740 17200 96 -28 -201 165000
269 261 0 0 0 0 0 -1184 -32 18196 182 -326 -101 165200
277 264 0 0 0 0 0 -492 -572 17728 282 -341 -109 165400
276 266 0 0 0 0 0 -884 -164 17012 206 -351 -144 165600
88 83 0 0 0 0 0 -116 544 18396 246 -516 -71 165800
0 0 0 0 0 0 0 -160 468 18432 208 -465 -141 166000
524 18412 0 0 0 0 0 26368 28352 0 0 8263 13086 166200
0 1 0 0 0 0 0 -204 592 18472 180 -431 -143 166400
0 0 0 0 0 0 0 -60 584 18320 211 -444 -134 166600
276 261 0 0 0 0 0 -456 1644 17392 52 -472 -165 166800
278 263 0 0 0 0 0 856 396 20860 190 -816 -104 167000
269 264 0 0 0 0 0 744 -124 20468 157 -718 -38 167200
276 260 0 0 0 0 0 608 -832 20480 241 -464 -44 167400
277 261 0 0 0 0 0 876 -536 19728 310 -524 -63 167600
278 267 0 0 0 0 0 -1216 1280 16468 145 -101 -218 167800
277 267 0 0 0 0 0 1004 320 20476 129 -687 -70 168000
268 261 0 0 0 0 0 1164 -944 20796 352 -647 -48 168200
278 264 0 0 0 0 0 1092 768 18868 268 -653 -150 168400
275 263 0 0 0 0 0 660 1392 19152 130 -411 -219 168600
279 260 0 0 0 0 0 -1128 1976 16596 92 -326 -208 168800
280 262 0 0 0 0 0 -652 -272 17872 124 -27 -205 169000
0 1 0 0 0 0 0 -168 648 18472 188 -441 -133 169200
0 0 0 0 0 0 0 -100 516 18280 214 -455 -157 169400
269 262 0 0 0 0 0 504 -476 20876 187 -468 -106 169600
278 261 0 0 0 0 0 592 264 20944 197 -540 -124 169800
278 259 0 0 0 0 0 -508 2028 17460 129 -511 -150 170000
276 264 0 0 0 0 0 -1064 228 17852 159 -166 -127 170200
276 265 0 0 0 0 0 752 -508 19596 312 -400 -105 170400
268 260 0 0 0 0 0 244 1780 18336 142 -603 -169 170600
36 34 0 0 0 0 0 -40 464 18360 245 -494 -124 170800
244 206 0 0 0 0 0 -1000 -188 19720 127 -282 -205 171000
274 259 0 0 0 0 0 1008 392 19724 295 -1036 -59 171200
283 261 0 0 0 0 0 112 1308 16668 317 -642 -136 171400
283 257 0 0 0 0 0 -204 992 16264 301 -467 -164 171600
283 261 0 0 0 0 0 -356 600 16392 301 -340 -145 171800
282 262 0 0 0 0 0 -68 12 17084 318 -462 -99 172000
143 134 0 0 0 0 0 -176 640 17960 317 -588 -204 172200
0 0 0 0 0 0 0 -28 596 18372 162 -425 -157 172400
0 1 0 0 0 0 0 -64 628 18464 183 -420 -140 172600
178 -442 0 0 0 0 0 258 236 10373 14639 9726 -7163 172800
284 260 0 0 0 0 0 -416 -20 18952 117 -119 -189 173000
283 264 0 0 0 0 0 -828 500 17052 145 101 -262 173200
283 262 0 0 0 0 0 -1004 984 15912 162 58 -242 173400
283 261 0 0 0 0 0 -604 1816 16312 152 -69 -268 173600
274 263 0 0 0 0 0 -292 1552 16040 190 -251 -257 173800
259 240 0 0 0 0 0 1148 -1544 14180 198 1707 -1341 174000
0 0 0 0 0 0 0 -156 572 18208 186 -425 -161 174200
0 0 0 0 0 0 0 -100 580 18372 193 -435 -160 174400
-16384 0 0 0 0 0 0 9471 19458 9287 30720 -8706 13567 174600
0 0 0 0 0 0 0 -240 504 18264 189 -403 -160 174800
0 0 0 0 0 0 0 -148 512 18560 195 -467 -141 175000
-464 -159 0 0 0 0 0 0 8010 13088 8191 -31742 18503 175200
0 0 0 0 0 0 0 -24 516 18316 172 -437 -148 175400
86 81 0 0 0 0 0 -124 508 16904 341 -259 43 175600
282 263 0 0 0 0 0 656 1028 16792 300 -604 -200 175800
282 264 0 0 0 0 0 612 196 17384 328 -418 -233 176000
281 262 0 0 0 0 0 -196 112 17140 199 -90 -270 176200
1 1 0 0 0 0 0 -116 464 18432 202 -443 -142 176400
