t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
1802000 0 0 749 2541 1157 1808 1887 0.000000 -0.239420 0.000000 0.000000 0.000000 -0.022116
1802771 0 0 735 2335 1206 1808 1847 0.000000 -0.191536 0.000000 0.000000 0.000000 -0.024515
1803799 0 0 749 2541 1232 1928 1928 0.000000 -0.248997 0.000000 0.000000 0.000000 -0.020518
1804313 0 0 709 2594 1181 1770 1808 0.000000 -0.239420 0.000000 0.000000 0.000000 -0.018519
1805084 0 0 722 2541 1181 1887 1808 0.000000 -0.239420 0.000000 0.000000 0.000000 -0.021184
1805341 0 0 735 2880 1206 1808 1847 0.000000 -0.234632 0.000000 0.000000 0.000000 -0.018919
1806112 0 0 735 2820 1206 1808 1887 0.000000 -0.241814 0.000000 0.000000 0.000000 -0.018386
1807140 0 0 749 2238 1206 1732 1887 0.000000 -0.246603 0.000000 0.000000 0.000000 -0.016254
1807654 0 0 735 2541 1206 1696 1847 0.000000 -0.234632 0.000000 0.000000 0.000000 -0.023848
1808168 0 0 749 2762 1181 2191 1847 0.000000 -0.292093 0.000000 0.000000 0.000000 -0.025580
1808682 0 0 735 2056 1181 1696 1808 0.000000 -0.260968 0.000000 0.000000 0.000000 -0.016387
1809196 0 0 735 2238 1181 1491 1808 0.000000 -0.265756 0.000000 0.000000 0.000000 -0.024914
1809710 0 0 735 2436 1181 1460 1887 0.000000 -0.241814 0.000000 0.000000 0.000000 -0.023982
1810738 0 0 735 2940 1206 1556 1847 0.000000 -0.234632 0.000000 0.000000 0.000000 -0.019185
1811509 55 48 685 2880 1087 1770 1847 0.000000 -1.015141 0.000000 0.000000 0.000000 -0.052760
1812537 75 81 822 2649 640 2100 1887 0.000000 -0.517148 0.000000 0.000000 0.000000 0.016787
1813822 0 0 1181 2436 532 1770 1847 0.000000 -0.201113 0.000000 0.000000 0.000000 -0.019718
1814079 0 0 1157 2541 518 1625 1847 0.000000 -0.167594 0.000000 0.000000 0.000000 -0.026247
1814850 0 0 1157 2385 525 1696 1847 0.000000 -0.222661 0.000000 0.000000 0.000000 -0.019851
1815107 0 0 1181 2594 518 1524 1887 0.000000 -0.215478 0.000000 0.000000 0.000000 -0.022783
1815878 0 0 1206 2385 532 1847 1928 0.000000 -0.241814 0.000000 0.000000 0.000000 -0.019585
1816906 0 0 1181 3064 511 1732 1847 0.000000 -0.210690 0.000000 0.000000 0.000000 -0.017320
1817163 0 0 1157 2541 525 1660 1887 0.000000 -0.232238 0.000000 0.000000 0.000000 -0.024648
1817934 0 0 1181 2012 532 1660 1847 0.000000 -0.227449 0.000000 0.000000 0.000000 -0.019185
1818191 0 0 1181 2056 525 1770 1928 0.000000 -0.237026 0.000000 0.000000 0.000000 -0.023182
1819990 0 0 1087 1808 473 2649 1696 0.000000 -0.090980 0.000000 0.000000 0.000000 -0.019985
1820247 0 0 1110 1491 473 2649 1696 0.000000 -0.177171 0.000000 0.000000 0.000000 -0.022916
1821532 0 0 1065 1429 479 2820 1696 0.000000 -0.294487 0.000000 0.000000 0.000000 -0.024381
1822560 58 -65 1065 407 906 1970 1928 0.000000 -0.289698 0.000000 0.000000 0.000000 -1.206409
1823331 0 0 590 396 1133 2238 1556 0.000000 -0.146046 0.000000 0.000000 0.000000 -0.024381
1823588 0 0 581 407 1110 2191 1556 0.000000 -0.143652 0.000000 0.000000 0.000000 -0.023449
1824359 0 0 590 396 1133 2238 1556 0.000000 -0.136469 0.000000 0.000000 0.000000 -0.021317
1824616 0 0 600 407 1157 2191 1590 0.000000 -0.208296 0.000000 0.000000 0.000000 -0.021717
1825387 0 0 572 400 1087 2286 1524 0.000000 -0.189142 0.000000 0.000000 0.000000 -0.016121
1826415 0 0 590 400 1133 2335 1625 0.000000 -0.160412 0.000000 0.000000 0.000000 -0.016121
1826672 0 0 581 396 1133 2145 1556 0.000000 -0.158017 0.000000 0.000000 0.000000 -0.021583
1827957 54 52 548 389 906 2191 1625 0.000000 1.189918 0.000000 0.000000 0.000000 -0.057289
1828728 0 0 491 364 888 1970 1590 0.000000 -0.272939 0.000000 0.000000 0.000000 -0.017054
1829756 0 0 485 358 838 1928 1590 0.000000 -0.138864 0.000000 0.000000 0.000000 -0.021583
1830013 18 0 468 364 1491 2100 1660 0.000000 0.035913 0.000000 0.000000 0.000000 -0.298038
1831041 0 0 415 386 1491 2100 1590 0.000000 -0.153229 0.000000 0.000000 0.000000 -0.020118
1831812 53 21 400 396 1590 1887 1732 0.000000 -0.644040 0.000000 0.000000 0.000000 -0.356660
1832069 13 7 403 415 1556 1770 1770 0.000000 -0.239420 0.000000 0.000000 0.000000 -0.018253
1832840 0 0 393 396 1460 1770 1732 0.000000 -0.090980 0.000000 0.000000 0.000000 -0.021717
1833097 0 0 400 400 1524 1808 1770 0.000000 -0.143652 0.000000 0.000000 0.000000 -0.022250
1834125 0 0 400 400 1590 1847 1808 0.000000 -0.119710 0.000000 0.000000 0.000000 -0.019585
1835153 0 0 400 415 1524 1847 1770 0.000000 -0.112527 0.000000 0.000000 0.000000 -0.023848
1835410 0 0 393 396 1491 1696 1732 0.000000 -0.143652 0.000000 0.000000 0.000000 -0.016654
1836181 80 78 386 407 1369 1732 1732 0.000000 0.074220 0.000000 0.000000 0.000000 -0.014256
1836438 86 83 379 400 1232 1887 1732 0.000000 -0.960075 0.000000 0.000000 0.000000 -0.020384
1837466 74 75 379 396 888 1770 1732 0.000000 -1.513135 0.000000 0.000000 0.000000 -0.002665
1838237 13 15 376 393 685 1847 1808 0.000000 -0.258574 0.000000 0.000000 0.000000 0.015588
1838494 0 0 376 396 673 1887 1770 0.000000 -0.287304 0.000000 0.000000 0.000000 -0.016121
1839265 0 0 373 386 673 1808 1770 0.000000 -0.174777 0.000000 0.000000 0.000000 -0.022116
1839522 0 0 373 379 662 1770 1732 0.000000 -0.134075 0.000000 0.000000 0.000000 -0.024781
1840550 0 0 370 379 662 1770 1732 0.000000 -0.143652 0.000000 0.000000 0.000000 -0.021317
1840807 0 0 373 389 673 1808 1770 0.000000 -0.165200 0.000000 0.000000 0.000000 -0.019585
1841578 0 0 376 386 685 1887 1808 0.000000 -0.155623 0.000000 0.000000 0.000000 -0.020518
1841835 0 0 373 389 673 1770 1770 0.000000 -0.141258 0.000000 0.000000 0.000000 -0.024381
1843891 77 42 331 485 504 1732 1590 0.000000 0.368707 0.000000 0.000000 0.000000 -0.339473
1844148 85 49 344 525 437 1696 1590 0.000000 -0.713472 0.000000 0.000000 0.000000 -0.357593
1845176 71 12 525 176 328 1399 1847 0.000000 0.102951 0.000000 0.000000 0.000000 -0.599274
1846204 11 -12 211 157 943 1887 2100 0.000000 -0.754174 0.000000 0.000000 0.000000 -0.016787
1847232 -14 -11 254 165 1732 1847 2238 0.000000 -0.107739 0.000000 0.000000 0.000000 -0.030910
1847489 0 0 254 165 1770 1887 2145 0.000000 -0.282516 0.000000 0.000000 0.000000 -0.017320
1848260 0 0 257 160 1732 1887 2100 0.000000 -0.272939 0.000000 0.000000 0.000000 -0.015988
1848517 0 0 257 160 1770 1847 2012 0.000000 -0.248997 0.000000 0.000000 0.000000 -0.017853
1849288 0 0 257 163 1770 1847 2100 0.000000 -0.292093 0.000000 0.000000 0.000000 -0.019585
1849545 0 0 257 160 1808 1847 2056 0.000000 -0.241814 0.000000 0.000000 0.000000 -0.023848
1850316 0 0 257 165 1808 1847 2145 0.000000 -0.284910 0.000000 0.000000 0.000000 -0.020784
1850573 0 0 252 165 1770 1887 2012 0.000000 -0.232238 0.000000 0.000000 0.000000 -0.023715
1851344 0 0 254 163 1732 1847 2100 0.000000 -0.282516 0.000000 0.000000 0.000000 -0.021583
1852372 0 0 254 168 1808 1847 1970 0.000000 -0.241814 0.000000 0.000000 0.000000 -0.019718
1852629 0 0 254 160 1732 1808 2145 0.000000 -0.246603 0.000000 0.000000 0.000000 -0.019319
1853400 0 0 257 165 1732 1847 2056 0.000000 -0.260968 0.000000 0.000000 0.000000 -0.017853
1853657 0 0 260 165 1808 1847 2145 0.000000 -0.299275 0.000000 0.000000 0.000000 -0.017453
1854942 84 43 147 232 1133 1770 1970 0.000000 -0.514753 0.000000 0.000000 0.000000 -0.393965
