t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
2650100 24 25 68 1 1 41 52 0 -900 0 0 0 -292
2650871 26 26 46 2 1 44 52 0 684 0 0 0 20
2651899 22 23 52 2 1 42 52 0 936 0 0 0 -249
2652156 23 23 51 5 1 45 51 0 -456 0 0 0 -121
2652927 0 0 52 6 1 43 51 0 -340 0 0 0 -189
2653184 0 0 52 1 1 41 51 0 -268 0 0 0 -134
2654212 0 0 52 1 1 42 51 0 -344 0 0 0 -159
2654983 0 0 51 2 1 44 48 0 -228 0 0 0 -145
2655240 0 0 53 1 1 44 52 0 -312 0 0 0 -200
2655497 0 0 51 1 1 43 51 0 -580 0 0 0 -175
2656268 34 32 53 2 2 47 52 0 -44 0 0 0 -309
2656525 32 29 52 1 1 43 53 0 488 0 0 0 -141
2657296 24 24 51 1 1 46 50 0 148 0 0 0 -226
2657553 25 25 51 1 1 46 51 0 -80 0 0 0 -109
2658581 24 23 52 2 2 45 55 0 292 0 0 0 -287
2659609 24 25 51 19 1 44 51 0 -212 0 0 0 153
2660637 25 24 51 33 1 45 54 0 -48 0 0 0 -244
2660894 25 24 51 32 1 44 53 0 -100 0 0 0 -197
2661665 25 25 51 28 2 47 53 0 -1628 0 0 0 -266
2661922 28 26 50 1 1 45 54 0 1192 0 0 0 -235
2662950 22 23 50 1 1 46 54 0 544 0 0 0 181
2663207 23 25 50 1 1 45 55 0 360 0 0 0 -105
2663978 23 24 50 1 1 45 55 0 416 0 0 0 193
2665006 26 27 49 1 1 45 51 0 -1432 0 0 0 -18
2666034 25 24 50 1 2 45 53 0 736 0 0 0 -382
2666291 26 23 49 1 1 44 52 0 -1092 0 0 0 -283
2667062 25 24 49 1 1 45 55 0 -1520 0 0 0 -173
2668347 25 24 50 1 1 44 51 0 -20 0 0 0 -209
2668604 26 24 49 1 1 44 53 0 168 0 0 0 -82
2669375 23 23 51 1 1 43 56 0 -800 0 0 0 -144
2669632 24 24 50 2 2 44 53 0 -848 0 0 0 -139
2670660 23 24 52 2 2 43 55 0 -132 0 0 0 -221
2670917 25 24 49 2 3 44 55 0 636 0 0 0 -54
2671688 23 24 48 2 1 44 55 0 -1036 0 0 0 2
2671945 23 24 50 1 1 41 55 0 -1108 0 0 0 31
2673744 23 24 50 1 1 42 54 0 -1024 0 0 0 -23
2675029 23 24 50 1 1 42 54 0 -160 0 0 0 -62
2675286 22 24 51 2 2 39 54 0 -8 0 0 0 -67
2677342 24 10 53 1 1 41 50 0 2452 0 0 0 -1452
2677599 21 9 52 2 1 44 53 0 -1736 0 0 0 -1179
2678627 26 26 52 1 1 44 51 0 96 0 0 0 -197
2678884 23 25 53 2 2 44 53 0 -168 0 0 0 67
2679912 22 23 51 1 2 43 51 0 188 0 0 0 -231
2680940 27 24 53 2 2 46 52 0 -720 0 0 0 -490
2681197 26 24 53 1 1 44 52 0 -280 0 0 0 -36
2682225 26 27 53 1 1 45 50 0 -84 0 0 0 -112
2682482 23 25 53 2 2 45 53 0 332 0 0 0 52
2683253 24 24 52 1 1 45 53 0 508 0 0 0 -23
2683510 24 26 54 1 2 45 52 0 92 0 0 0 94
2684281 22 23 53 2 2 46 54 0 -456 0 0 0 -222
2684538 22 22 52 2 2 43 54 0 360 0 0 0 -215
2685309 25 25 53 3 3 47 54 0 -1092 0 0 0 -309
2685566 26 24 51 1 1 43 52 0 -412 0 0 0 -213
2686337 23 23 52 2 2 45 52 0 36 0 0 0 -331
2686594 26 23 52 1 1 45 52 0 -788 0 0 0 -305
2688393 16 27 48 1 1 45 53 0 -1452 0 0 0 1026
2688650 8 25 50 2 2 42 55 0 -336 0 0 0 1488
2689421 30 27 48 1 1 42 52 0 -1000 0 0 0 -330
