t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
4536022 0 0 8 8 8 8 8 1128 -140 18180 47 -336 -201
4536122 0 0 8 8 8 8 8 1056 -272 18056 103 -323 -171
4536222 0 0 7 8 8 8 8 1076 -112 18104 186 -356 -199
4536322 0 -1 7 8 8 8 8 1064 -124 18008 33 -317 -171
4536422 0 0 7 8 8 8 8 1044 -300 18024 97 -351 -161
4536522 0 0 7 7 8 8 8 1064 -112 18044 149 -348 -170
4536622 0 0 8 8 8 8 8 1124 -8 17984 72 -343 -185
4536722 0 0 8 8 8 8 8 1032 -224 18140 183 -334 -183
4536822 0 0 7 7 8 8 8 1104 -56 18048 144 -375 -171
4536922 0 0 7 8 8 8 8 1112 -196 18176 38 -353 -176
4537022 0 0 8 8 8 8 8 1156 -144 18160 156 -321 -188
4537122 0 0 7 8 8 8 8 1096 -116 18072 96 -335 -195
4537222 0 0 7 7 8 8 8 1116 -272 18104 104 -340 -172
4537322 0 0 8 8 8 9 9 1152 -184 18076 97 -348 -190
4537422 0 0 8 8 8 8 8 1108 -120 18208 100 -331 -205
4537522 0 0 7 7 8 8 8 1116 -140 18116 144 -326 -174
4537622 0 0 8 8 8 8 8 1004 -168 17992 154 -338 -200
4537722 0 0 7 7 7 8 8 1076 -140 18096 87 -367 -185
4537822 0 0 8 8 8 8 8 1128 -108 18088 94 -342 -185
4537922 0 0 7 7 8 8 8 1004 -120 18144 154 -330 -192
4538022 0 0 8 9 9 9 9 1144 -284 18004 84 -345 -161
4538122 0 0 8 8 8 8 8 968 -276 18144 133 -372 -171
4538222 0 0 8 8 8 8 8 1000 -120 18140 140 -376 -179
4538322 0 0 8 8 8 8 8 1100 -112 18184 143 -403 -179
4538422 0 0 8 8 8 8 8 1100 -116 17988 136 -381 -203
4538522 0 0 8 8 8 9 9 1036 -164 18132 86 -368 -215
4538622 0 -1 7 7 8 8 8 1012 -212 18116 111 -377 -152
4538722 0 0 7 7 8 8 8 992 -80 18132 109 -346 -171
4538822 0 0 7 7 7 8 8 1132 -156 18228 103 -350 -195
4538922 0 0 7 7 7 8 8 1132 -92 18092 151 -347 -178
4539022 0 0 8 8 8 8 8 1036 -120 18052 104 -360 -184
4539122 0 0 8 8 8 8 8 1080 -232 18188 134 -381 -180
4539222 0 0 8 8 8 9 9 1104 -184 18112 129 -372 -178
4539322 0 0 7 7 8 8 8 1028 -188 18116 88 -333 -187
4539422 0 0 8 9 8 9 9 1032 -152 18256 108 -351 -194
4539522 0 0 8 8 8 8 8 1128 -144 18076 150 -353 -183
4539622 0 0 8 8 8 8 8 1100 -236 18124 135 -385 -166
4539722 0 0 8 8 8 8 8 1116 -172 18080 78 -329 -180
4539822 0 0 8 8 8 8 8 1092 -124 17920 74 -325 -186
4539922 0 0 7 7 7 8 8 1064 -100 17984 84 -368 -181
4540022 0 0 8 8 8 8 8 1120 -120 18168 108 -331 -156
4540122 0 0 7 8 8 8 8 1144 -156 17992 123 -359 -164
4540222 0 0 7 7 7 8 8 1076 -244 18188 115 -342 -187
4540322 0 0 8 8 8 8 8 1200 -160 18220 112 -332 -186
4540422 0 0 7 7 7 8 8 1140 -184 18028 167 -367 -178
4540522 0 0 7 7 7 8 8 1112 -152 17996 153 -381 -162
4540622 0 0 8 8 8 8 8 1092 -192 18192 131 -362 -188
4540722 0 0 8 8 8 8 8 1052 -172 18080 83 -371 -165
4540822 0 0 8 8 8 8 8 1152 -36 18176 128 -336 -212
4540922 0 0 7 8 8 8 8 944 -196 18192 98 -321 -174
4541022 0 0 7 8 8 8 8 1092 -288 18244 131 -378 -163
4541122 0 0 8 8 8 8 8 1052 -136 18084 116 -342 -183
4541222 0 0 7 8 8 8 8 980 -108 18048 110 -381 -196
4541322 0 0 8 8 8 8 8 1012 -168 18212 115 -331 -170
4541422 0 0 8 8 8 8 8 1024 -236 18108 126 -332 -207
4541522 0 0 7 8 7 8 8 1144 -136 18112 110 -349 -181
4541622 0 0 8 8 8 8 8 1064 -84 18092 144 -366 -179
4541722 0 0 7 7 7 8 8 1092 -64 18100 124 -372 -195
4541822 0 0 7 8 8 8 8 1008 -216 18160 150 -364 -191
4541922 0 0 8 8 8 8 8 1064 -228 18000 136 -361 -197
4542022 0 0 7 7 7 8 8 1052 -236 17952 127 -322 -190
4542122 0 0 8 8 8 8 8 1040 -112 18104 150 -362 -178
4542222 0 0 8 8 8 8 8 1088 -164 18016 129 -368 -177
4542322 0 0 8 8 8 8 8 1096 -168 18116 118 -333 -173
4542422 0 0 7 8 7 8 8 1024 -132 18044 127 -341 -180
4542522 0 0 9 9 9 9 9 1048 -100 18124 111 -344 -192
4542622 0 0 9 9 9 9 10 1116 -104 18100 121 -344 -166
4542722 0 0 8 8 8 8 8 1104 -272 17976 130 -361 -199
4542822 0 0 9 9 9 9 10 1080 -192 18128 95 -317 -179
4542922 0 0 9 9 9 9 10 1108 -192 18056 123 -387 -171
4543022 0 0 8 8 8 8 8 1024 -164 18176 91 -356 -190
4543122 0 0 8 8 8 8 8 1072 -164 18012 161 -375 -177
4543222 0 0 8 8 8 8 8 1128 -224 18116 108 -350 -173
4543322 0 0 7 7 7 8 8 1056 -64 18116 172 -357 -184
4543422 0 0 8 8 8 8 8 1208 -196 18212 120 -341 -187
4543522 0 0 8 8 8 8 8 936 -220 18028 93 -356 -188
4543622 0 0 7 8 7 8 8 1000 -192 18088 97 -340 -206
4543722 0 0 7 8 8 8 8 1084 -48 18060 136 -382 -174
4543822 0 0 7 7 7 8 8 1136 -176 18116 100 -336 -164
4543922 0 0 7 8 7 8 8 1076 -136 18060 143 -381 -186
4544022 0 0 8 8 8 8 9 1124 -76 18144 107 -361 -184
4544122 0 0 8 8 8 8 8 1164 -176 17968 135 -373 -177
4544222 0 0 8 9 9 9 9 1084 -204 18020 96 -332 -197
4544322 0 0 8 8 8 9 9 1020 -100 18032 95 -346 -160
4544422 0 0 8 8 8 8 8 1040 -132 18080 131 -395 -175
4544522 0 0 7 7 7 8 8 1004 -32 18124 167 -362 -190
4544622 0 0 7 7 7 8 8 1008 -72 18144 131 -371 -193
4544722 0 0 8 8 8 8 8 1052 -204 17996 90 -346 -153
4544822 0 0 8 8 8 8 8 1180 -172 18072 129 -375 -173
4544922 0 0 7 7 7 8 8 1012 -196 17952 145 -365 -160
4545022 0 0 9 9 9 9 9 1096 -144 18200 112 -360 -160
4545122 0 0 8 8 8 8 8 1004 -200 18204 149 -354 -188
4545222 0 0 8 8 8 8 8 1076 -240 18012 117 -348 -186
4545322 0 0 7 7 7 8 8 1072 -172 18100 122 -355 -178
4545422 0 0 8 7 8 8 8 1028 -148 18008 118 -346 -191
4545522 0 0 9 9 9 9 9 1112 -132 18072 142 -382 -153
4545622 0 0 9 9 9 9 10 1092 -156 18152 98 -311 -200
4545722 0 0 9 10 10 10 10 1092 -140 18228 82 -316 -205
4545822 0 0 8 8 8 8 8 1048 -188 17960 93 -324 -199
4545922 0 0 8 9 9 9 9 1112 -136 18020 156 -387 -183
4546022 0 0 8 8 8 9 9 1076 -204 18228 127 -377 -186
4546122 0 0 8 8 8 8 8 1032 -132 18108 104 -330 -208
4546222 0 0 8 9 8 9 9 1048 -84 17964 110 -369 -175
4546322 0 0 8 8 8 8 8 1120 -132 18124 107 -365 -181
4546422 0 0 9 9 9 9 10 1188 -140 18104 132 -358 -161
4546522 0 0 8 8 8 8 8 1080 -72 18068 136 -365 -191
4546622 0 0 8 8 8 8 8 1084 -116 18036 146 -399 -172
4546722 0 0 7 8 7 8 8 1064 -152 18184 81 -337 -187
4546822 0 0 7 8 8 8 8 1084 -132 18088 109 -309 -199
4546922 0 0 7 8 7 8 8 1104 -220 18092 85 -319 -187
4547022 0 0 8 8 8 8 8 908 -180 18144 101 -341 -165
4547122 0 0 8 8 8 9 9 1228 -212 18140 139 -367 -174
4547222 0 0 7 8 7 8 8 1036 -144 18176 101 -351 -203
4547322 0 0 8 8 8 8 8 1016 -68 18184 120 -371 -142
4547422 0 0 7 8 8 8 8 1088 -112 18088 136 -377 -189
4547522 0 0 9 8 9 9 9 1132 -56 18140 125 -371 -186
4547622 0 0 7 8 8 8 8 1044 -60 18020 103 -334 -192
4547722 0 0 8 8 7 8 8 1048 -104 18152 66 -354 -180
4547822 0 0 7 7 8 8 8 1092 -124 18008 111 -337 -175
4547922 0 0 8 8 8 8 8 1128 -172 17980 110 -325 -173
4548022 0 0 8 8 8 8 8 1052 -176 18128 94 -368 -164
4548122 0 0 7 8 7 8 8 1028 -76 18060 135 -370 -155
4548222 0 0 8 8 8 8 8 1084 -152 18064 90 -355 -182
4548322 0 0 8 8 8 8 8 1056 -164 18236 134 -370 -161
4548422 0 0 8 8 8 8 8 1056 -208 18140 76 -329 -182
4548522 0 0 7 7 7 8 8 1080 -148 18064 115 -323 -192
4548622 0 0 8 7 8 8 8 1216 -160 18080 109 -345 -202
4548722 0 0 8 9 9 9 9 1056 -152 18168 121 -324 -197
4548822 0 0 8 9 9 9 9 1108 -208 18096 122 -344 -179
4548922 0 0 8 8 8 8 8 1136 -196 18156 96 -350 -169
4549022 0 0 8 8 8 8 8 1208 -112 18004 115 -351 -195
4549122 0 0 8 8 8 8 8 1132 -112 18184 82 -318 -204
4549222 0 0 7 7 7 8 8 1076 -100 17984 90 -352 -185
4549322 0 0 7 8 8 8 8 1060 -184 18064 132 -396 -176
4549422 0 0 8 8 8 8 8 1124 -120 18032 118 -326 -166
4549522 0 0 8 8 9 9 9 1012 -148 18132 144 -368 -182
4549622 0 0 7 8 8 8 8 1044 -120 18140 139 -366 -187
4549722 0 0 8 8 8 8 8 1068 -116 18004 63 -337 -191
4549822 0 0 8 8 8 8 8 1128 -164 18120 83 -344 -182
4549922 0 0 8 8 8 8 8 1036 -212 17936 107 -310 -170
4550022 0 0 8 8 8 8 8 1036 -212 17996 114 -327 -190
4550122 0 0 7 8 8 8 8 1052 -228 18128 156 -380 -175
4550222 0 0 8 8 8 8 8 1020 -152 18140 94 -339 -177
4550322 0 0 7 8 7 8 8 1076 -128 18048 137 -348 -176
4550422 0 0 8 8 8 8 8 1104 -144 18132 147 -376 -183
4550522 0 0 7 7 8 8 8 1172 -108 18276 111 -344 -179
4550622 0 0 8 8 8 8 8 1188 -144 18196 155 -373 -160
4550722 0 0 8 8 8 8 8 1116 -68 17976 123 -356 -193
4550822 0 0 7 8 7 8 8 1012 -88 17956 103 -343 -166
4550922 0 0 9 9 9 9 10 1100 -268 18080 155 -382 -170
4551022 0 0 8 8 8 8 8 1000 -220 18072 104 -355 -165
4551122 0 0 7 7 8 8 8 1020 -168 18036 132 -344 -177
4551222 0 0 9 9 9 9 9 1060 -144 18192 121 -360 -190
4551322 0 0 8 9 9 9 9 1036 -80 18084 136 -329 -185
