t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
4996847 1 -3 5 69 60 68 56 1088 -88 18204 55 -399 -140
4996947 1 -3 1 66 68 70 69 1128 -144 18304 83 -398 -101
4997047 0 -2 47 70 65 73 70 1060 -152 18308 109 -412 -131
4997147 -1 -4 69 84 66 60 66 1164 -176 18296 32 -383 -111
4997247 1 -3 15 76 99 73 56 1068 -148 18416 92 -416 -112
4997347 3 -3 1 4 63 71 67 1044 -224 18316 104 -414 -129
4997447 1 -3 53 68 65 79 68 1084 -212 18352 62 -410 -105
4997547 3 -2 11 60 15 47 65 1080 -132 18296 121 -441 -129
4997647 -1 -3 1 66 1 1 1 1024 -148 18268 95 -432 -99
4997747 0 -4 7 70 68 95 68 1064 -40 18312 81 -422 -131
4997847 2 -2 1 1 1 1 1 1160 -164 18356 67 -425 -140
4997947 2 -5 1 60 73 73 1 1168 -200 18212 89 -382 -132
4998047 -2 -4 1 69 1 72 68 1088 -180 18304 43 -387 -119
4998147 4 -4 66 72 58 75 67 1072 -116 18436 126 -449 -117
4998247 0 -2 27 73 64 69 72 1072 -128 18340 81 -372 -108
4998347 0 -5 4 68 63 71 68 1200 -300 18428 80 -394 -139
4998447 3 -3 42 73 67 71 61 1152 -132 18384 86 -396 -133
4998547 3 -5 17 19 23 60 27 1008 -96 18340 81 -432 -133
4998647 -1 -3 27 64 68 72 69 1144 -100 18380 131 -437 -114
4998747 1 -3 1 1 58 1 1 1192 -136 18300 134 -439 -125
4998847 0 -4 2 62 69 73 74 1064 -160 18444 57 -410 -124
4998947 3 -5 1 21 71 78 67 1096 -200 18156 90 -433 -102
4999047 -4 -4 16 65 75 65 70 1060 -60 18232 114 -416 -135
4999147 0 -4 1 70 73 67 51 1076 -228 18164 122 -396 -118
4999247 5 -5 4 10 67 1 58 1044 -128 18108 68 -397 -107
4999347 0 -4 1 1 69 39 1 1076 -248 18348 103 -447 -119
4999447 0 -4 1 71 70 61 68 1068 -124 18112 103 -403 -106
4999547 2 -4 1 70 91 82 72 1108 -148 18260 39 -391 -105
4999647 3 -3 1 69 1 9 67 1020 -96 18316 53 -390 -109
4999747 -1 -3 1 61 59 67 65 1024 -252 18256 78 -382 -138
4999847 0 -4 1 72 64 68 74 972 -144 18256 50 -404 -144
4999947 3 -3 58 60 62 76 69 1044 -48 18372 143 -457 -109
5000047 1 -3 4 67 62 3 69 1020 -224 18340 85 -433 -89
5000147 1 -3 37 1 64 74 65 1076 -92 18312 93 -392 -126
5000247 0 -4 19 57 53 67 68 1172 -64 18456 66 -372 -124
5000347 1 -5 73 34 1 73 68 1212 -268 18148 91 -440 -149
5000447 1 -3 7 69 1 75 60 1088 -192 18400 91 -427 -85
5000547 4 -4 1 72 64 78 61 1132 -220 18212 111 -434 -95
5000647 2 -2 64 67 66 68 68 1084 -140 18272 71 -424 -104
5000747 3 -5 16 77 60 75 53 1024 -176 18232 48 -395 -118
5000847 3 -3 16 71 23 61 66 1084 -152 18272 43 -389 -118
5000947 5 -5 1 76 83 7 64 1088 -132 18244 73 -392 -121
5001047 4 -4 1 72 61 54 72 1040 -100 18292 85 -406 -118
5001147 2 -4 1 62 1 1 67 1152 -188 18204 111 -426 -140
5001247 4 -4 39 74 68 72 69 1052 -196 18272 109 -454 -128
5001347 2 -4 43 19 59 71 58 1072 -128 18304 81 -417 -124
5001447 3 -4 11 82 65 61 2 1128 -120 18400 77 -391 -120
5001547 2 -4 1 1 15 74 63 1092 -144 18268 100 -408 -127
5001647 4 -5 51 64 65 72 2 1040 -168 18160 104 -407 -104
5001747 2 -4 2 71 1 76 58 1108 -60 18260 55 -384 -124
