t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
4988147 0 0 3325 906 2012 3258 806 0.670376 -0.086191 11.025299 0.006129 -0.055158 -0.014789
4988247 0 0 3325 662 3325 3325 1847 0.610521 -0.098162 10.840945 0.010658 -0.053959 -0.015188
4988347 0 0 2436 806 962 3127 777 0.620098 -0.057461 11.051635 0.013323 -0.056890 -0.018386
4988447 0 0 3325 2385 2488 2436 2286 0.670376 -0.069432 10.931925 0.011325 -0.054225 -0.015988
4988547 0 -1 3325 3325 1847 3325 3325 0.648829 -0.083797 10.876858 0.012524 -0.051427 -0.015055
4988647 -3 -11 3001 822 838 709 1181 0.624887 -0.112527 10.943895 0.010259 -0.053159 -0.014522
4988747 -3 -2 1087 722 3325 777 791 0.605733 -0.083797 11.013328 0.016387 -0.055424 -0.015588
4988847 3 -3 1087 854 981 806 1206 0.605733 -0.093374 10.840945 0.017320 -0.056623 -0.017187
4988947 3 -3 3325 762 3127 564 888 0.605733 -0.093374 10.955867 0.013190 -0.054358 -0.013590
4989047 -1 -3 3325 3127 3325 1110 1065 0.694318 -0.102951 11.003751 0.011991 -0.060087 -0.015188
4989147 1 -5 1887 735 981 762 1460 0.699107 -0.007183 10.855310 0.008394 -0.055291 -0.014256
4989247 5 -6 1887 888 806 791 2820 0.672771 -0.090980 10.903194 0.016254 -0.055957 -0.016121
4989347 2 -2 3325 709 854 838 962 0.617704 -0.059855 10.867281 0.020251 -0.054225 -0.015322
4989447 2 -5 3127 806 943 777 854 0.675165 -0.045490 10.951078 0.014922 -0.056224 -0.012923
4989547 -1 -3 3325 838 749 822 822 0.639252 -0.071826 10.943895 0.012790 -0.058755 -0.015188
4989647 0 -5 3325 791 777 806 1133 0.718261 -0.081403 10.910377 0.007061 -0.053426 -0.016254
4989747 3 -3 1110 673 777 722 609 0.684742 -0.126893 11.008539 0.017986 -0.055025 -0.013856
4989847 1 -3 3325 3325 3325 673 3325 0.658405 -0.079009 10.972626 0.011058 -0.054625 -0.017853
