t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
199393591 26 54 777 3325 1928 3325 1928 0.306458 1.034295 11.281478 0.008394 -0.057956 -0.001466
199394591 25 53 854 3325 2012 3325 1232 0.847547 -0.859518 10.742783 -0.001466 -0.055691 -0.028778
199395591 27 55 806 3325 1970 3325 1556 0.660800 -0.514753 10.793061 0.011458 -0.053959 -0.033708
199396591 25 55 822 3325 1928 3325 1625 0.378284 0.948104 10.649409 0.014789 -0.053292 -0.009726
199397591 24 57 822 3325 1928 3325 1732 0.301669 0.402226 10.982203 0.006795 -0.055158 -0.011991
199398591 26 56 822 3325 2012 3325 1660 0.713472 -0.703895 10.647015 0.013057 -0.059421 -0.025447
199399591 24 57 906 3325 1970 3325 1770 0.861913 -0.244209 10.984597 0.015455 -0.048096 -0.032375
199400591 26 56 854 3325 1970 3325 1770 0.426168 1.010353 10.498574 -0.004130 -0.052360 -0.015055
199401591 26 55 871 3325 1970 3325 1660 0.308852 0.134075 10.910377 0.010259 -0.054625 -0.010658
199402591 27 55 762 3325 1970 3325 1524 0.770933 -0.684742 11.264719 0.011991 -0.046897 -0.030243
199403591 27 55 822 3325 1928 3325 1625 0.440533 0.047884 10.757148 -0.006528 -0.046897 -0.031975
199404591 27 54 888 3325 2012 3325 1847 0.237026 0.627281 10.896011 0.019585 -0.059821 -0.008926
199405591 26 55 822 3325 1970 3325 1732 0.761356 -0.248997 10.647015 0.011591 -0.050495 -0.013856
199406591 27 56 838 3325 2056 3325 1732 0.636858 -0.220267 10.943895 0.027979 -0.054092 -0.031842
199407591 27 57 822 3325 1970 3325 1847 0.615310 0.770933 10.570400 0.013323 -0.050495 -0.023049
199408591 27 57 822 3325 2012 3325 1696 0.270545 1.022324 11.353304 0.013323 -0.059288 -0.002798
199409591 27 57 822 3325 1970 3325 1399 0.663194 -0.457293 10.759542 0.021717 -0.052227 -0.012657
199410591 29 56 871 3325 1970 3325 2145 0.907402 -0.457293 10.915165 0.030776 -0.050894 -0.030910
199411591 27 57 791 3325 1970 3325 2191 0.256180 0.565032 10.678140 0.015721 -0.050761 -0.012124
199412591 27 55 806 3325 2012 3325 2100 0.739808 1.060631 10.752359 0.011458 -0.046498 -0.011991
199413591 27 55 838 3325 1928 3325 2145 0.414197 0.529119 10.872069 0.011191 -0.053959 -0.008527
199414591 28 54 822 3325 1970 3325 2100 0.878672 -1.127669 11.173739 0.015188 -0.047564 -0.029711
199415591 27 56 871 3325 1970 3325 2145 0.656011 -0.421380 10.809820 0.008660 -0.047963 -0.033841
199416591 28 55 906 3325 1928 3325 2191 0.313640 0.873884 11.058818 0.008793 -0.046764 -0.011191
199417591 28 55 791 3325 1970 3325 2191 0.342371 -0.002394 10.647015 0.004397 -0.052093 -0.009992
199418591 27 56 777 3325 1970 3325 2012 0.517148 -0.809240 10.879252 -0.003597 -0.048763 -0.031443
199419591 28 55 871 3325 1970 3325 2100 0.816423 0.308852 10.931925 0.020251 -0.049029 -0.024381
199420591 27 55 854 3325 1970 3325 2100 0.392649 1.369483 11.300632 0.005196 -0.053292 -0.003730
199421591 26 54 924 3325 1970 3325 2145 0.711078 -0.378284 10.888829 0.008926 -0.044899 -0.012657
199422591 28 53 838 3325 1970 3325 2100 0.610521 -0.454898 10.994174 0.021450 -0.051028 -0.030643
199423591 28 52 871 3325 1928 3325 2012 0.320823 0.644040 10.553641 0.008394 -0.051294 -0.022250
199424591 28 51 871 3325 1928 3325 2145 0.454898 0.636858 11.453860 0.010392 -0.053026 -0.005596
199425591 27 52 777 3325 1970 3325 2056 0.641646 -0.782904 10.486604 0.005995 -0.053026 -0.025580
199426591 27 53 822 3325 1970 3325 2100 0.739808 -0.275333 10.850522 0.009193 -0.055557 -0.030910
199427591 27 54 871 3325 1970 3325 2145 0.596156 0.500388 10.972626 0.007994 -0.042234 -0.018386
199428591 26 53 822 3325 1970 3325 2100 0.344765 1.113304 10.970232 0.000266 -0.060221 -0.006395
199429591 27 54 924 3325 1970 3325 2056 0.869095 -1.000776 10.934319 0.009726 -0.046764 -0.023715
199430591 27 54 777 3325 1970 3325 2100 0.914585 -0.435745 11.204864 0.016254 -0.040103 -0.031709
199431591 28 54 871 3325 1970 3325 2100 0.435745 1.477222 10.685322 0.015455 -0.052227 -0.006928
199432591 27 53 822 3325 1970 3325 2012 0.378284 0.411803 11.070788 0.015322 -0.055424 -0.007594
199433591 27 52 854 3325 1928 3325 2100 0.526724 -0.213084 10.654198 0.015322 -0.053825 -0.014123
199434591 28 52 854 3325 1970 3325 1970 0.689530 -1.091756 11.286266 -0.000933 -0.043300 -0.034507
199435591 27 52 822 3325 1970 3325 2100 0.730232 0.636858 10.668563 0.006262 -0.053825 -0.023982
199436591 28 53 871 3325 1928 3325 2100 0.335188 1.046266 11.111490 0.009459 -0.053559 0.000400
199437591 27 53 854 3325 1928 3325 2012 0.577003 -0.351948 10.692505 0.003730 -0.053959 -0.018253
199438591 28 54 762 3325 1970 3325 2056 0.667982 -0.715866 11.171345 0.010392 -0.051427 -0.032375
199439591 25 55 791 3325 1970 3325 2056 0.380678 0.330400 10.718841 0.007994 -0.040236 -0.020651
199440591 25 54 822 3325 1970 3325 2100 0.328006 0.711078 11.394006 0.014256 -0.045165 -0.007594
199441591 3 8 871 3325 1928 3325 2100 0.536301 0.184354 10.919953 0.011591 -0.054492 -0.019319
199442591 0 2 871 3325 2056 3325 2145 1.367089 -0.289698 11.250354 0.001066 -0.056224 -0.029844
199443591 22 51 838 3325 1928 3325 2100 0.502782 1.161188 10.857704 0.015721 -0.046098 -0.011191
199444591 25 54 854 3325 1928 3325 2012 0.248997 0.617704 10.972626 0.003198 -0.050095 -0.002398
199445591 26 54 822 3325 1928 3325 2100 0.739808 -0.670376 10.757148 0.014256 -0.059155 -0.029844
199446591 27 53 806 3325 1928 3325 2100 0.584185 0.045490 10.929530 0.016121 -0.048496 -0.027845
