t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
721174591 0 0 2100 3325 1928 3325 1285 -0.409408 -0.375890 10.943895 0.015455 -0.051427 -0.020651
721175591 0 0 1928 3325 1928 3325 1258 -0.363919 -0.351948 10.965444 0.011191 -0.052493 -0.018253
721176591 0 0 2286 3325 1887 3325 1232 -0.339977 -0.397437 10.924742 0.008127 -0.049162 -0.022516
721177591 0 0 2191 3325 1970 3325 1232 -0.342371 -0.378284 10.924742 0.009060 -0.052493 -0.016787
721178591 0 0 2012 3325 1970 3325 1232 -0.339977 -0.392649 10.881646 0.016521 -0.052893 -0.019585
721179591 0 0 2012 3325 1970 3325 1232 -0.356736 -0.418985 10.833762 0.011325 -0.049828 -0.019185
721180591 0 0 2238 3325 1887 3325 1285 -0.404620 -0.402226 10.843339 0.013989 -0.054758 -0.021317
721181591 0 0 2012 3325 2012 3325 1285 -0.397437 -0.375890 10.836157 0.012524 -0.048896 -0.017986
721182591 0 0 2100 3325 1970 3325 1285 -0.407014 -0.363919 10.907983 0.012391 -0.051161 -0.021983
721183591 0 0 1928 3325 1970 3325 1258 -0.328006 -0.344765 10.905588 0.013590 -0.055025 -0.019718
721184591 0 0 2012 3325 1928 3325 1258 -0.351948 -0.380678 10.915165 0.010259 -0.046631 -0.015988
721185591 0 0 2100 3325 1970 3325 1285 -0.368707 -0.361524 10.845734 0.013057 -0.050095 -0.019452
721186591 0 0 1887 3325 1970 3325 1285 -0.383072 -0.323217 10.943895 0.010259 -0.049695 -0.020651
721187591 0 0 2145 3325 1970 3325 1341 -0.332794 -0.375890 10.929530 0.014522 -0.051161 -0.022116
721188591 58 52 2145 3325 1928 3325 1460 -0.239420 -0.955286 11.611878 0.007594 -0.077008 -0.005729
721189591 93 106 2012 3325 1928 3325 1491 -0.105345 -0.225055 10.520123 -0.029311 -0.101522 0.370783
721190591 29 105 943 3325 1928 3325 1660 0.146046 -0.071826 10.972626 -0.006795 -0.050095 0.390900
721191591 32 105 762 3325 1847 3325 1887 -0.320823 0.416591 11.358092 0.025580 -0.072345 0.180129
721192591 93 106 619 3325 1928 3325 1732 -0.040701 -0.735020 10.663774 0.019452 -0.081671 0.010658
721193591 101 105 619 3325 1928 3325 1206 -0.634463 -0.871489 11.389217 0.044899 -0.060753 -0.038371
721194591 101 106 532 3325 1808 3325 2012 -0.435745 0.031125 10.165780 0.016521 -0.069680 -0.027579
721195591 98 105 491 3325 1732 3325 1847 -0.174777 -0.260968 11.259931 -0.025714 -0.046498 -0.028645
721196591 100 104 442 3325 1625 3325 1770 1.393425 -1.254562 10.472238 0.042501 -0.064617 -0.016920
721197591 98 105 400 3325 1625 3325 1808 -0.596156 0.198719 11.856087 0.019985 -0.060887 -0.028778
721198591 98 103 370 3325 1556 3325 1660 -0.560243 0.502782 10.967837 -0.003997 -0.033175 -0.031443
721199591 96 104 326 3325 1369 3325 1590 -0.600945 -0.308852 10.967837 0.002265 -0.069147 -0.002665
721200591 92 73 308 3325 1429 3325 1556 0.093374 -0.962469 10.244789 -0.003464 -0.044499 -0.017853
721201591 96 99 271 3325 1369 3325 1460 -0.881066 0.189142 11.683704 0.026779 -0.029977 -0.321487
721202591 98 48 274 3325 1232 3325 1524 -0.225055 -0.083797 10.374076 0.019452 -0.035306 -0.314692
721203591 96 45 292 3325 1110 3325 1524 -0.272939 -0.778116 10.637438 0.006928 -0.059021 -0.314426
721204591 96 44 339 3325 924 3325 1460 -0.464475 -0.009577 11.094730 0.026513 -0.049695 -0.328948
721205591 96 40 419 3325 888 3325 1887 0.359130 -1.247379 9.979033 0.053292 -0.032908 -0.334011
721206591 96 38 777 3325 888 3325 1696 -1.103727 0.804452 11.101913 0.020384 -0.045832 -0.329614
721207591 96 38 673 3325 888 3325 1660 -0.014365 -0.454898 11.104307 0.024648 -0.065683 -0.330547
721208591 95 35 518 3325 962 3325 1460 0.972046 -1.343147 10.014946 0.037438 -0.022783 -0.371049
721209591 93 31 457 3325 1110 3325 1429 -1.053449 0.301669 10.809820 0.042234 -0.050228 -0.354395
721210591 95 33 370 3325 1285 3325 1590 -0.847547 0.569820 10.704475 0.010525 -0.037971 -0.324018
721211591 93 36 382 3325 1232 3325 1460 0.055067 -0.490811 11.066000 0.046364 -0.027179 -0.326150
721212591 93 35 396 3325 1847 3325 2436 -0.648829 -0.687136 10.462661 0.031842 -0.056224 -0.347467
721213591 93 35 437 3325 1590 3325 3325 -1.709460 -0.177171 12.040441 0.020384 -0.048096 -0.329881
721214591 89 77 457 3325 1133 3325 3325 -2.353500 0.009577 10.577583 -0.026646 -0.061153 -0.076208
721215591 1 3 473 3325 1133 3325 3325 -0.304064 -0.210690 10.910377 0.010658 -0.048230 -0.017986
721216591 0 0 462 3325 1157 3325 3325 -0.258574 -0.193930 10.936713 0.013190 -0.055691 -0.017587
721217591 0 0 462 3325 1133 3325 3325 -0.323217 -0.265756 10.919953 0.016654 -0.052093 -0.018253
721218591 0 0 473 3325 1133 3325 3325 -0.294487 -0.227449 10.893618 0.013057 -0.049029 -0.019052
721219591 0 0 468 3325 1133 3325 3325 -0.287304 -0.177171 10.898406 0.011191 -0.051427 -0.017187
721220591 0 0 462 3325 1133 3325 3325 -0.292093 -0.260968 10.951078 0.009859 -0.050228 -0.020518
721221591 0 0 462 3325 1133 3325 3325 -0.328006 -0.213084 10.941502 0.017187 -0.053159 -0.018652
721222591 0 0 473 3325 1133 3325 3325 -0.378284 -0.241814 10.958261 0.015988 -0.051161 -0.020518
721223591 0 0 457 3325 1157 3325 3325 -0.268151 -0.232238 10.982203 0.011191 -0.050495 -0.019985
721224591 0 0 473 3325 1157 3325 3325 -0.301669 -0.167594 10.848127 0.010792 -0.047297 -0.018919
721225591 0 0 479 3325 1133 3325 3325 -0.311246 -0.227449 11.018116 0.014655 -0.050894 -0.018386
721226591 0 0 462 3325 1157 3325 3325 -0.316035 -0.203507 10.862493 0.007594 -0.049695 -0.017986
721227591 16 17 479 3325 1181 3325 3325 -0.129287 0.028730 11.094730 0.002531 -0.061420 0.002265
721228591 92 99 452 3325 1022 3325 3325 0.071826 -1.072602 10.802638 0.004663 -0.053426 0.013057
721229591 97 74 504 3325 762 3325 3325 -0.538695 -0.059855 11.243171 0.041968 -0.031043 -0.272858
