t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
198424591 0 0 1556 3325 2100 3325 232 -0.268151 -0.124498 10.886435 0.011724 -0.051294 -0.016787
198425591 0 0 1369 3325 2191 3325 260 -0.268151 -0.122104 10.819397 0.010792 -0.049429 -0.018786
198426591 0 0 1491 3325 2100 3325 243 -0.237026 -0.150835 10.931925 0.010525 -0.049828 -0.019452
198427591 0 0 1556 3325 1970 3325 191 -0.306458 -0.079009 10.958261 0.015188 -0.052227 -0.016920
198428591 0 0 1460 3325 2100 3325 193 -0.215478 -0.124498 11.054029 0.012923 -0.048629 -0.018386
198429591 0 0 1460 3325 2100 3325 193 -0.289698 -0.071826 10.948684 0.010126 -0.049162 -0.019319
198430591 0 0 1312 3325 2100 3325 191 -0.270545 -0.131681 10.917560 0.011858 -0.050761 -0.019718
198431591 0 0 1556 3325 2100 3325 193 -0.260968 -0.105345 10.817003 0.010259 -0.051427 -0.018119
198432591 0 0 1460 3325 2100 3325 205 -0.196325 -0.138864 10.896011 0.015855 -0.049029 -0.018253
198433591 0 0 1369 3325 2100 3325 193 -0.244209 -0.155623 10.927136 0.012524 -0.052360 -0.017187
198434591 0 0 1460 3325 943 3325 171 -0.172383 -0.069432 10.905588 0.011325 -0.050228 -0.016521
198435591 0 0 1556 3325 191 3325 211 -0.301669 -0.059855 10.951078 0.015988 -0.053026 -0.018919
198436591 0 0 1625 3325 232 3325 188 -0.292093 -0.045490 10.941502 0.011858 -0.052093 -0.017054
198437591 0 0 1660 3325 199 3325 193 -0.294487 -0.143652 10.924742 0.012923 -0.051028 -0.018119
198438591 0 0 1369 3325 199 3325 196 -0.227449 -0.081403 11.042058 0.016654 -0.052893 -0.019851
198439591 0 0 1285 3325 211 3325 220 -0.284910 -0.114922 10.886435 0.013989 -0.052760 -0.020518
198440591 0 0 1556 3325 226 3325 220 -0.277727 -0.004788 10.979809 0.013323 -0.054225 -0.018519
198441591 0 0 1491 3325 214 3325 223 -0.280122 -0.086191 10.934319 0.010925 -0.051827 -0.019851
198442591 0 0 1399 3325 214 3325 217 -0.268151 -0.112527 10.977415 0.015055 -0.054625 -0.019052
198443591 0 0 1491 3325 229 3325 220 -0.265756 -0.112527 10.888829 0.013989 -0.054225 -0.017986
198444591 0 0 1369 3325 257 3325 193 -0.244209 -0.100556 10.963049 0.008260 -0.051294 -0.018253
198445591 0 0 1556 3325 211 3325 191 -0.292093 -0.110133 10.931925 0.016121 -0.054891 -0.021317
198446591 0 0 1460 3325 214 3325 196 -0.272939 -0.107739 10.905588 0.009992 -0.049562 -0.019052
198447591 0 0 1491 3325 229 3325 191 -0.248997 -0.098162 10.955867 0.009593 -0.051560 -0.017720
198448591 0 0 1399 3325 202 3325 208 -0.277727 -0.090980 10.893618 0.010259 -0.050361 -0.019319
198449591 0 0 1399 3325 196 3325 205 -0.287304 -0.124498 10.934319 0.010259 -0.047963 -0.018786
198450591 0 0 1660 3325 171 3325 1399 -0.215478 -0.081403 10.915165 0.014522 -0.060354 -0.013190
198451591 0 0 1312 3325 163 3325 1460 -0.289698 -0.071826 10.941502 0.010658 -0.049828 -0.020251
198452591 0 0 1524 3325 163 3325 1524 -0.299275 -0.117316 10.912771 0.014123 -0.055824 -0.017853
198453591 0 0 1285 3325 168 3325 411 -0.251391 -0.086191 10.955867 0.013989 -0.057289 -0.016787
198454591 0 0 1491 3325 171 3325 854 -0.277727 -0.026336 10.891223 0.014389 -0.053026 -0.019452
198455591 0 0 1369 3325 163 3325 1524 -0.260968 -0.105345 10.893618 0.013456 -0.053559 -0.018119
198456591 0 0 1399 3325 165 3325 1157 -0.272939 -0.138864 11.044453 0.012257 -0.056890 -0.018386
198457591 0 0 1460 3325 163 3325 581 -0.263362 -0.074220 10.960655 0.012124 -0.051827 -0.020651
198458591 0 0 1312 3325 168 3325 376 -0.299275 -0.102951 11.015722 0.018919 -0.053559 -0.019185
198459591 0 -23 1285 3325 165 3325 344 -0.241814 -0.112527 10.900800 0.010658 -0.053426 -0.018386
198460591 0 -46 1491 3325 168 3325 336 -0.251391 -0.122104 10.963049 0.014389 -0.056090 -0.019851
198461591 0 -54 1399 3325 168 3325 341 -0.263362 -0.160412 11.001357 0.012657 -0.053159 -0.017986
198462591 0 -54 1341 3325 168 3325 339 -0.325611 -0.086191 10.965444 0.016787 -0.055557 -0.019452
198463591 0 -70 1491 3325 168 3325 328 -0.251391 -0.093374 11.015722 0.009726 -0.050361 -0.016654
198464591 0 -71 1312 3325 168 3325 352 -0.292093 -0.119710 10.946290 0.014789 -0.051427 -0.018253
198465591 0 -69 1556 3325 168 3325 347 -0.241814 -0.081403 10.963049 0.011058 -0.051427 -0.019452
198466591 0 -34 1491 3325 165 3325 310 -0.294487 -0.057461 10.919953 0.017320 -0.056090 -0.018652
198467591 0 0 1524 3325 165 3325 290 -0.234632 -0.126893 10.967837 0.006528 -0.049429 -0.017853
198468591 0 -33 1399 3325 171 3325 276 -0.215478 -0.098162 10.972626 0.006928 -0.048629 -0.017853
198469591 0 -86 1232 3325 171 3325 279 -0.296881 -0.136469 10.888829 0.014389 -0.053292 -0.015988
