t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz  
199426591 26 51 68 1 26 1 23 1236 -460 18128 69 -417 -232  
199427591 26 52 65 1 26 1 22 996 836 18332 60 -317 -138  
199428591 25 51 68 1 26 1 23 576 1860 18328 2 -452 -48  
199429591 26 52 62 1 26 1 24 1452 -1672 18268 73 -351 -178  
199430591 26 52 71 1 26 1 23 1528 -728 18720 122 -301 -238  
199431591 27 52 65 1 26 1 23 728 2468 17852 116 -392 -52  
199432591 26 51 68 1 26 1 25 632 688 18496 115 -416 -57  
199433591 26 50 66 1 27 1 23 880 -356 17800 115 -404 -106  
199434591 27 50 66 1 26 1 26 1152 -1824 18856 -7 -325 -259  
199435591 26 50 68 1 26 1 23 1220 1064 17824 47 -404 -180  
199436591 27 51 65 1 27 1 23 560 1748 18564 71 -402 3  
199437591 26 51 66 1 27 1 25 964 -588 17864 28 -405 -137  
199438591 27 52 72 1 26 1 24 1116 -1196 18664 78 -386 -243  
199439591 24 53 70 1 26 1 24 636 552 17908 60 -302 -155  
199440591 24 52 68 1 26 1 23 548 1188 19036 107 -339 -57  
199441591 3 8 65 1 27 1 23 896 308 18244 87 -409 -145  
199442591 0 2 65 1 24 1 22 2284 -484 18796 8 -422 -224  
199443591 21 49 67 1 27 1 23 840 1940 18140 118 -346 -84  
199444591 24 52 66 1 27 1 25 416 1032 18332 24 -376 -18  
199445591 25 52 68 1 27 1 23 1236 -1120 17972 107 -444 -224  
199446591 26 51 69 1 27 1 23 976 76 18260 121 -364 -209  
199447591 27 50 74 1 25 1 26 128 1660 17900 18 -430 -108  
199448591 24 50 67 1 25 1 23 712 -352 18044 152 -401 -63  
199449591 25 52 66 1 26 1 23 1064 -1512 18576 -51 -381 -205  
199450591 25 52 68 1 26 1 25 932 912 17836 299 -440 -175  
199451591 25 52 70 1 27 1 25 516 1060 18600 67 -381 -49  
199452591 12 27 67 1 28 1 24 972 192 18272 58 -378 -122  
199453591 1 2 68 1 27 1 23 1184 -1180 18752 163 -379 -289  
199454591 4 15 65 1 26 1 23 1012 108 18172 52 -381 -155  
199455591 1 9 71 1 25 1 25 1008 1520 18412 244 -361 -98  
199456591 5 12 68 1 24 1 23 924 152 18256 114 -397 -125  
199457591 0 0 64 1 27 1 25 928 124 18220 111 -404 -136  
199458591 0 1 65 1 26 1 24 1028 172 18168 87 -387 -123  
199459591 0 0 66 1 26 1 23 936 172 18148 104 -378 -142  
199460591 0 0 63 1 25 1 25 904 220 18180 103 -404 -150  
199461591 0 0 65 1 27 1 23 984 136 18100 87 -400 -157  
199462591 0 0 63 1 27 1 25 892 104 18236 77 -410 -134  
199463591 0 0 65 1 26 1 22 936 120 18284 75 -375 -128  
199464591 0 0 68 1 26 1 23 992 156 18324 111 -395 -136  
199465591 0 0 68 1 28 1 25 868 160 18276 98 -419 -140  
199466591 0 0 67 1 28 1 25 948 80 18340 89 -407 -151  
199467591 0 0 70 1 27 1 20 1000 20 18132 111 -395 -127  
199468591 0 0 60 1 26 1 22 932 56 18120 100 -372 -148  
199469591 0 0 67 1 27 1 23 880 188 18196 90 -382 -117  
199470591 0 0 64 1 26 1 25 948 180 18284 103 -418 -127  
199471591 0 0 67 1 28 1 23 876 168 18076 70 -403 -129  
199472591 0 0 65 1 26 1 25 952 64 18212 73 -390 -149  
199473591 0 0 64 1 26 1 22 868 224 18192 55 -378 -158  
199474591 0 0 65 1 26 1 22 1008 140 18116 37 -364 -152  
199475591 0 0 67 1 27 1 23 948 240 18028 67 -362 -113  
199476591 0 1 74 1 26 1 23 936 148 18348 62 -390 -146  
