t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
197173591 41 -47 151 1 43 1 114 44 -108 17824 155 -470 -57
197174591 27 12 153 1 46 1 109 -344 1664 19752 66 -471 473
197175591 79 85 154 1 51 1 109 1604 -1680 17456 162 -428 123
197176591 84 88 155 1 56 1 107 296 -312 18868 194 -428 182
197177591 82 89 155 1 60 1 16 -968 1960 18456 442 -465 364
197178591 82 89 156 1 62 1 26 248 160 19304 -301 -387 297
197179591 80 91 160 1 66 1 36 984 -544 17012 -162 -132 412
197180591 81 91 166 1 76 1 39 -844 92 19424 -134 -155 191
197181591 79 89 172 1 91 1 64 -760 932 17780 -46 -291 401
197182591 80 90 177 1 110 1 76 -1940 888 19320 -427 -423 189
197183591 11 12 178 1 115 1 76 464 1404 17360 3 -454 -4958
197184591 68 -70 81 1 107 1 15 1568 752 17408 191 -196 -7783
197185591 76 -64 138 1 76 1 1 160 1344 17724 443 -89 -2952
197186591 79 51 161 1 83 1 1 -156 3980 17012 386 -518 305
197187591 82 50 178 1 80 1 5 464 -732 18160 -190 -481 -2003
197188591 82 39 197 1 73 1 25 724 -232 18364 -17 -392 -2248
197189591 82 40 202 1 61 1 11 -1088 1216 18392 438 -446 -1956
197190591 83 40 202 1 46 1 98 -824 1492 18432 138 -390 -1935
197191591 85 41 201 1 35 1 148 -368 -1032 16816 -170 -164 -1930
197192591 86 39 194 1 30 1 167 -1212 -352 20396 256 -361 -2163
197193591 83 76 190 1 33 1 35 -1148 1976 18412 281 -492 153
197194591 87 90 192 1 35 1 29 88 1944 18556 -129 -527 305
197195591 87 90 192 1 35 1 25 328 -1268 16504 -55 -472 185
197196591 87 90 194 1 37 1 29 16 -728 18780 262 -458 -44
197197591 89 89 197 1 41 1 24 -868 1604 16840 574 -566 130
197198591 88 89 197 1 41 1 29 -116 728 18168 28 -392 180
197199591 87 86 200 1 47 1 31 320 -1816 17420 342 -360 -2172
197200591 86 65 196 1 55 1 35 1652 128 19248 415 -267 340
197201591 86 85 198 1 59 1 25 -472 -2864 16984 651 -892 -2303
197202591 87 67 191 1 70 1 26 472 44 18140 -252 -33 227
197203591 89 90 190 1 80 1 32 764 -1856 16820 87 -592 -265
197204591 90 59 173 1 89 1 20 -1640 -320 19960 -37 -286 -177
197205591 91 87 169 1 109 1 33 -960 1636 18444 -476 -682 -2243
197206591 89 45 135 1 119 1 41 -452 652 18292 66 -355 -2048
197207591 88 44 138 1 135 1 35 -328 -856 18184 64 -334 -2264
197208591 87 44 186 1 152 1 38 -156 276 18744 150 -521 -2062
197209591 52 28 202 1 159 1 40 -1584 -844 18448 598 -582 -201
197210591 13 -2 204 1 147 1 37 -2076 -96 18312 182 -367 -6875
197211591 81 -81 206 1 59 1 32 544 -20 18192 112 -210 -8264
197212591 27 -31 199 1 38 1 24 -512 -100 18068 0 -375 -126
197213591 18 3 201 1 38 1 23 324 -1040 18172 -103 -359 411
197214591 84 84 204 1 43 1 29 1604 -812 17464 -83 -252 -99
197215591 24 29 206 1 42 1 25 -468 692 18344 110 -399 -125
197216591 0 1 205 1 44 1 26 -496 -164 18396 91 -387 -146
197217591 17 -7 201 1 39 1 33 -1680 -196 19940 698 -190 -6915
197218591 51 -58 149 1 41 1 50 -384 168 18512 222 -497 -412
197219591 58 40 142 1 44 1 49 -952 72 19700 321 -616 -1936
197220591 83 45 98 1 44 1 54 -1740 1000 16904 103 -420 -2081
197221591 83 39 1 1 44 1 62 -1332 316 17656 201 -438 -2114
197222591 82 36 34 1 41 1 25 -624 1064 18948 274 -433 -2400
197223591 84 33 57 1 38 1 23 544 -1848 17492 95 -215 -2599
197224591 85 32 68 1 30 1 31 -280 16 18772 189 -358 -2428
197225591 86 35 54 1 29 1 40 -780 1724 17332 248 -306 -2650
197226591 86 31 43 1 31 1 30 -1780 512 17564 115 -223 -2544
197227591 27 12 40 1 23 1 44 -564 -412 18320 159 -340 -115
197228591 -24 -21 29 1 60 1 55 3936 844 16812 632 -168 -638
197229591 -3 -2 32 1 50 1 55 -1068 -3648 18440 -1106 258 3628
197230591 -23 15 55 1 29 1 34 -568 -152 18356 100 -401 -167
197231591 28 -20 22 1 66 1 54 -920 -484 18048 -188 -491 -7792
197232591 11 -15 11 1 69 1 50 -424 -232 18308 108 -399 -133
197233591 -19 -25 5 1 66 1 49 -644 -224 18692 174 -231 -206
197234591 -14 -18 3 1 66 1 49 -2168 -492 19944 94 -335 -938
197235591 -83 -90 1 1 63 1 50 1220 1300 16740 -102 -505 -249
197236591 -21 -5 13 1 58 1 46 1228 2540 17944 -27 -443 6551
197237591 -8 8 26 1 51 1 41 -276 -172 18312 32 -361 -160
197238591 -31 -26 16 1 47 1 44 1892 -2652 19012 -25 -700 -158
197239591 -30 -34 20 1 55 1 44 -996 -84 17748 207 -323 -773
