t t a_c omega_c Ax Ay Ay_media Az Gx Gy -Gz -Gz_media
269502055 10600 0 0 0.586579 -0.102951 -0.0939725 11.03727 0.023049 -0.058622 0.017853 0.0184746667
269502255 10800 0 0 0.648829 -0.122104 -0.10354925 11.015722 0.030377 -0.061553 0.017587 0.0182083333
269502455 11000 0 0 0.639252 -0.098162 -0.11133025 11.025299 0.024648 -0.062086 0.016654 0.0173646667
269502655 11200 0 0 0.663194 -0.105345 -0.1071405 11.042058 0.027179 -0.062485 0.01732 0.017187
269502855 11400 0 0 0.622492 -0.129287 -0.1137245 11.066 0.024648 -0.058089 0.018786 0.0175866667
269503055 11600 0 0 0.682347 -0.067038 -0.099958 10.915165 0.023982 -0.058222 0.021717 0.0192743333
269503255 11800 0 0 0.591368 -0.131681 -0.10833775 11.058818 0.028911 -0.062619 0.018652 0.0197183333
269503455 12000 0 0 0.675165 -0.143652 -0.1179145 10.986992 0.027046 -0.060887 0.017187 0.0191853333
269503655 12200 0 0 0.605733 -0.093374 -0.10893625 10.994174 0.024515 -0.062219 0.018386 0.018075
269503855 12400 0 0 0.634463 -0.131681 -0.125097 10.984597 0.025447 -0.058622 0.020251 0.018608
269504055 12600 0 0 0.617704 -0.07422 -0.11073175 11.056423 0.025714 -0.059155 0.019452 0.019363
269504255 12800 0 0 0.648829 -0.126893 -0.106542 10.994174 0.026779 -0.062485 0.017054 0.018919
269504455 13000 0 0 0.612916 -0.07422 -0.1017535 11.020511 0.029444 -0.062352 0.020251 0.018919
269504655 13200 0 0 0.61531 -0.114922 -0.09756375 11.022904 0.02598 -0.061819 0.019185 0.01883
269504855 13400 0 0 0.634463 -0.093374 -0.10235225 10.984597 0.02185 -0.06102 0.020651 0.020029
269505055 13600 0 0 0.557849 -0.107739 -0.09756375 11.025299 0.029844 -0.059554 0.017187 0.0190076667
269505255 13800 0 0 0.646434 -0.031125 -0.08679 11.032481 0.03011 -0.06475 0.018919 0.018919
269505455 14000 0 0 0.483629 -0.306458 -0.134674 11.324574 0.033175 -0.053692 0.005462 0.013856
