t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
3958098 0 0 1065 2145 1732 1133 1001 0.000000 -0.330400 0.000000 0.000000 0.000000 -0.025447
3958869 0 0 1022 1970 1770 1065 962 0.000000 -0.268151 0.000000 0.000000 0.000000 -0.025714
3959897 0 0 1022 2100 1660 1206 981 0.000000 -0.325611 0.000000 0.000000 0.000000 -0.018519
3960154 0 0 1065 2238 1732 1312 1022 0.000000 -0.304064 0.000000 0.000000 0.000000 -0.025181
3961182 0 0 1043 1928 1808 1022 1043 0.000000 -0.347159 0.000000 0.000000 0.000000 -0.027845
3961439 0 0 1065 2238 1847 1065 1001 0.000000 -0.349553 0.000000 0.000000 0.000000 -0.028645
3962210 0 0 411 2191 1847 1206 981 0.000000 -0.385466 0.000000 0.000000 0.000000 -0.027845
3962467 0 0 411 2594 1732 1312 1022 0.000000 -0.339977 0.000000 0.000000 0.000000 -0.028911
3963238 0 0 419 424 1770 1133 1022 0.000000 -0.335188 0.000000 0.000000 0.000000 -0.027712
3963495 0 0 432 2385 1887 1133 981 0.000000 -0.079009 0.000000 0.000000 0.000000 -0.025314
3964266 0 0 1087 2488 943 1133 962 0.000000 -0.299275 0.000000 0.000000 0.000000 -0.023049
3964523 0 0 1022 2191 962 1110 981 0.000000 -0.390255 0.000000 0.000000 0.000000 -0.022383
3965294 0 0 1087 2436 2100 1133 981 0.000000 -0.354342 0.000000 0.000000 0.000000 -0.019319
3965551 0 0 1110 2145 1399 1133 981 0.000000 -0.344765 0.000000 0.000000 0.000000 -0.023449
3966322 0 0 1022 2238 1660 1232 962 0.000000 -0.325611 0.000000 0.000000 0.000000 -0.018919
3966579 0 0 1043 2056 1770 1258 981 0.000000 -0.270545 0.000000 0.000000 0.000000 -0.027312
3967607 0 0 1043 2238 1770 1087 1001 0.000000 -0.442927 0.000000 0.000000 0.000000 -0.018786
3967864 0 0 1087 2286 1928 1110 981 0.000000 -0.356736 0.000000 0.000000 0.000000 -0.028112
3968892 0 0 1043 2012 1847 1065 981 0.000000 -0.318429 0.000000 0.000000 0.000000 -0.028112
3969149 0 0 1043 2056 1847 1022 981 0.000000 -0.318429 0.000000 0.000000 0.000000 -0.022383
3970177 0 0 1065 2286 1770 1065 981 0.000000 -0.330400 0.000000 0.000000 0.000000 -0.018119
3970948 -2 0 1087 2436 1887 1206 1001 0.000000 -1.601721 0.000000 0.000000 0.000000 -0.112714
3971205 22 5 1133 2594 1887 3258 1001 0.000000 0.071826 0.000000 0.000000 0.000000 -0.202911
3971976 29 33 1258 2145 1847 962 1001 0.000000 -0.328006 0.000000 0.000000 0.000000 0.007861
3973004 22 24 1133 2705 1808 1285 1043 0.000000 -1.194707 0.000000 0.000000 0.000000 0.012790
3973261 22 23 1065 2238 1696 1491 1022 0.000000 -0.337582 0.000000 0.000000 0.000000 -0.012124
3974289 25 26 1065 2191 1660 1660 981 0.000000 -0.782904 0.000000 0.000000 0.000000 -0.004796
3974546 24 24 1043 1808 1660 2335 1001 0.000000 -0.119710 0.000000 0.000000 0.000000 -0.008793
3975317 24 24 1043 2012 1625 1491 1001 0.000000 -0.823605 0.000000 0.000000 0.000000 -0.011591
3975574 24 24 1043 2012 1625 2012 1001 0.000000 -0.610521 0.000000 0.000000 0.000000 -0.022116
3976345 25 25 962 2012 1696 1460 1001 0.000000 -1.027112 0.000000 0.000000 0.000000 -0.012391
3977373 22 23 1043 2145 1625 1524 981 0.000000 -0.208296 0.000000 0.000000 0.000000 -0.024381
3978401 26 25 1001 1460 1524 1285 1001 0.000000 -0.076614 0.000000 0.000000 0.000000 -0.034773
3978658 24 24 1043 1847 1491 1429 1022 0.000000 -1.091756 0.000000 0.000000 0.000000 -0.013323
3979686 25 24 1022 1429 1341 1491 981 0.000000 -0.335188 0.000000 0.000000 0.000000 -0.023315
3979943 26 26 1022 1556 1369 1732 1043 0.000000 -0.622492 0.000000 0.000000 0.000000 -0.040636
3980457 22 24 962 1341 1369 1491 1022 0.000000 -0.023942 0.000000 0.000000 0.000000 -0.011991
3981742 25 25 1022 1341 1312 1429 1043 0.000000 0.349553 0.000000 0.000000 0.000000 -0.027979
3982770 26 26 962 1399 1258 1341 1043 0.000000 0.098162 0.000000 0.000000 0.000000 -0.015455
3983027 29 29 1110 1181 1206 1399 1043 0.000000 -0.588974 0.000000 0.000000 0.000000 -0.047564
