t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
2182149 0 0 28 1 34 174 197 0 -388 0 0 0 -149
2182663 0 0 26 1 37 175 197 0 -472 0 0 0 -189
2183177 0 0 26 1 35 175 196 0 -536 0 0 0 -125
2183691 0 0 28 1 36 175 197 0 -336 0 0 0 -122
2184205 0 0 28 1 37 175 197 0 -496 0 0 0 -145
2184719 0 0 28 1 35 175 195 0 -476 0 0 0 -154
2185233 0 0 28 1 36 176 196 0 -496 0 0 0 -119
2185747 0 0 28 1 35 174 196 0 -440 0 0 0 -195
2186261 0 0 28 1 35 174 196 0 -556 0 0 0 -124
2187289 0 0 27 1 38 174 197 0 -416 0 0 0 -151
2188060 6 5 37 1 38 177 197 0 820 0 0 0 -1031
2189088 29 32 35 1 35 186 204 0 380 0 0 0 140
2189345 26 27 34 1 36 187 205 0 1064 0 0 0 35
2190373 26 25 36 1 34 187 204 0 192 0 0 0 -279
2191144 25 24 35 1 35 189 205 0 -1404 0 0 0 -342
2192172 24 23 32 1 37 193 206 0 -716 0 0 0 61
2192429 25 26 34 1 37 192 207 0 -1212 0 0 0 31
2193200 11 23 34 2 28 182 204 0 -1412 0 0 0 1142
2193457 15 26 40 1 29 172 204 0 -584 0 0 0 691
2194485 26 25 34 35 32 163 205 0 -1376 0 0 0 -145
2194742 24 25 32 39 32 161 205 0 -176 0 0 0 106
2195513 24 24 35 46 36 154 206 0 -2156 0 0 0 -134
2195770 25 25 36 49 37 150 204 0 -1860 0 0 0 -230
2196541 26 26 32 60 40 146 202 0 -256 0 0 0 -123
2196798 25 25 33 58 41 143 202 0 -1040 0 0 0 -106
2197569 28 25 36 1 42 137 196 0 -2064 0 0 0 -445
2198597 24 25 152 1 45 132 194 0 -1416 0 0 0 -66
2198854 24 25 155 1 45 129 192 0 204 0 0 0 -66
2199882 25 26 163 3 51 120 187 0 -1248 0 0 0 -137
2200139 26 25 175 2 53 119 186 0 -268 0 0 0 -126
2201938 15 22 169 2 64 96 175 0 -1108 0 0 0 682
2202966 16 27 157 1 78 88 161 0 84 0 0 0 878
2203223 16 26 148 1 98 94 158 0 -1564 0 0 0 588
