t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz  
202335591 0 0 48 1 27 1 22 1156 328 18456 54 -401 -133  11168
202336591 0 0 51 1 27 1 23 1060 452 18136 27 -408 -129  
202337591 0 0 49 1 27 1 24 1160 364 18008 156 -404 -125  1559.9746031746
202338591 0 0 49 1 27 1 24 992 264 18208 96 -419 -140  
202339591 0 0 51 1 28 1 23 1104 364 18144 68 -371 -143  
202340591 0 0 43 1 26 1 22 1076 336 18204 73 -416 -120  
202341591 0 0 56 1 28 1 24 1024 600 18204 214 -394 -50  
202342591 0 0 52 1 27 1 20 1084 280 18080 51 -375 -133  
202343591 0 0 52 1 26 1 22 1028 408 18296 26 -401 -137  
202344591 0 0 49 1 26 1 22 1068 488 18304 142 -402 -135  
202345591 0 0 51 1 27 1 23 1048 588 18124 120 -421 -120  
202346591 0 0 52 1 26 1 23 1004 340 18304 114 -421 -114  
202347591 1 0 56 1 27 1 23 1084 560 18160 -33 -395 -133  
202348591 0 0 54 1 27 1 22 1024 488 18340 -24 -420 -141  
202349591 0 0 54 1 27 1 26 1048 312 18308 128 -401 -142  
202350591 0 0 51 1 27 1 24 1040 352 18308 69 -414 -141  
202351591 0 0 52 1 27 1 23 1012 396 18340 89 -402 -135  
202352591 0 0 59 1 30 1 24 1164 388 18252 103 -400 -125  
202353591 0 0 52 1 28 1 23 1044 368 18252 56 -383 -140  
202354591 0 0 54 1 27 1 21 1068 368 18168 37 -359 -148  
202355591 0 0 54 1 26 1 22 1100 316 18048 101 -430 -148  
202356591 0 0 57 1 25 1 20 1084 412 18352 72 -419 -127  
202357591 0 0 52 1 27 1 23 1000 376 18296 119 -411 -129  
202358591 0 0 54 1 26 1 21 1044 492 18240 118 -408 -147  
202359591 0 0 55 1 27 1 23 1056 340 18208 60 -384 -153  
202399591 0 0 52 1 26 1 20 1104 332 18192 70 -406 -133  
202400591 0 0 54 1 27 1 22 1052 400 18092 110 -408 -113  
202401591 0 0 53 1 27 1 24 1096 308 18268 60 -396 -133  
202402591 0 0 55 1 28 1 20 980 388 18268 81 -408 -134  
202403591 0 0 52 1 27 1 23 1088 364 18260 72 -385 -113  
202404591 0 0 55 1 27 1 25 1088 368 18356 106 -425 -125  
202405591 0 0 51 1 27 1 24 1076 384 18244 54 -369 -131  
202406591 0 0 51 1 25 1 20 1076 344 18204 59 -372 -147  
202407591 0 0 52 1 27 1 23 1084 392 18272 110 -416 -123  
202408591 11 15 46 1 27 1 22 -288 3044 18664 13 -407 -22  
202409591 73 89 55 1 29 1 22 1120 -476 17660 36 -372 -59  
202410591 72 91 52 1 27 1 23 2064 -1464 18152 83 -388 -285  
202411591 73 90 54 1 29 1 23 1036 1952 17584 -3 -424 -248  
202412591 73 91 51 1 29 1 22 -128 3232 18748 -108 -405 -72  
202413591 72 92 57 1 28 1 22 1688 -1412 17820 20 -371 -126  
202414591 74 91 52 1 26 1 23 2248 -2140 18576 114 -408 -238  
202415591 73 91 57 1 26 1 23 180 2572 17804 -14 -373 -125  
202416591 73 90 46 1 27 1 23 88 1784 19236 -49 -391 -7  
202417591 73 90 58 1 28 1 23 1764 -2320 17648 -3 -391 -189  
202418591 73 90 51 1 27 1 23 1592 -1204 18408 58 -398 -262  
202419591 72 91 52 1 27 1 22 80 2864 18428 23 -427 -81  
202420591 73 90 51 1 27 1 22 768 1080 18380 -33 -414 -50  
202421591 73 92 52 1 27 1 21 1832 -2564 17836 40 -385 -265  
202422591 73 91 49 1 26 1 23 1316 400 17932 68 -396 -255  
202423591 72 90 54 1 28 1 23 104 2760 18464 2 -450 -17  
202424591 72 91 52 1 26 1 23 -424 3332 19508 -27 -423 -35  
202425591 72 92 52 1 27 1 22 1488 -1220 17332 -69 -323 -167  
202426591 72 92 57 1 28 1 20 2252 -1572 18176 103 -360 -314  
202427591 72 92 54 1 27 1 24 300 2040 17824 113 -407 -122  
202428591 71 92 56 1 29 1 20 92 2588 19320 102 -381 72  
202429591 72 92 57 1 27 1 23 1836 -1704 17832 114 -367 -83  
202430591 72 91 57 1 28 1 23 2148 -1844 18524 217 -393 -196  
202431591 71 91 57 1 27 1 22 128 2908 17864 -19 -435 -78  
202432591 71 92 57 1 27 1 24 936 1120 18204 -20 -430 -74  
202433591 72 93 60 1 26 1 22 1972 -1608 17904 45 -383 -200  
202434591 72 91 55 1 27 1 24 1784 84 17980 187 -390 -185  
202435591 72 90 54 1 27 1 23 204 2588 18788 133 -381 -18  
202436591 72 90 50 1 27 1 20 684 68 18068 98 -358 -5  
202437591 71 90 55 1 29 1 21 1972 -2432 18684 171 -384 -225  
202438591 73 90 54 1 29 1 23 1420 928 18160 266 -401 -144  
202439591 72 90 58 1 28 1 22 -44 2344 18824 134 -388 -5  
202440591 71 84 52 1 28 1 24 1364 -1492 17556 154 -410 -71  
202441591 71 86 54 1 28 1 22 2188 -2744 18460 239 -382 -191  
202442591 70 85 60 1 27 1 22 1756 -1548 18552 192 -368 -266  
202443591 70 85 51 1 25 1 20 144 3096 17988 75 -414 -49  
202444591 70 83 55 1 26 1 23 800 936 18628 -10 -305 -58  
202445591 70 85 58 1 27 1 23 1684 -2632 17868 19 -388 -192  
202446591 70 85 51 1 27 1 23 1304 -316 18012 30 -413 -215  
202447591 70 85 55 1 27 1 23 -344 3260 18216 -89 -432 -78  
202448591 71 86 52 1 27 1 23 808 604 17720 41 -397 -123  
202449591 71 86 57 1 26 1 24 1340 -1468 18044 129 -376 -194  
202450591 71 84 52 1 27 1 23 960 1116 18036 203 -384 -117  
202451591 72 84 54 1 28 1 23 -464 3140 19568 129 -412 36  
202452591 72 85 51 1 28 1 22 1176 -1280 17436 45 -361 -131  
202453591 72 85 50 1 27 1 25 2028 -1632 18624 69 -354 -282  
202454591 72 86 52 1 28 1 21 940 1632 17688 -9 -404 -184  
202455591 72 86 51 1 26 1 18 180 2832 19060 -106 -382 -21  
202456591 72 85 55 1 25 1 23 1568 -1244 17620 152 -372 -193  
202457591 72 83 55 1 27 1 25 1960 -1804 18680 281 -417 -133  
202458591 72 85 54 1 28 1 22 4 2316 17944 83 -454 -58  
202459591 72 83 59 1 27 1 23 532 1244 18896 -80 -332 -83  
202460591 72 85 55 1 25 1 23 1648 -1732 17436 29 -399 -231  
202461591 73 85 52 1 28 1 21 1780 -1868 18568 115 -378 -183  
202462591 73 86 54 1 26 1 20 1516 1316 17900 -6 -365 -260  
202463591 72 84 51 1 27 1 20 -544 3724 18848 20 -431 7  
202464591 73 84 54 1 27 1 21 1616 -608 17160 16 -300 -193  
202465591 72 83 57 1 26 1 25 2060 -2124 18360 205 -358 -223  
202466591 73 84 52 1 27 1 23 568 2144 17988 164 -404 -114  
202467591 72 85 54 1 27 1 23 196 2624 19136 132 -446 27  
202468591 72 86 49 1 26 1 21 1272 -1312 17280 183 -415 -46  
202469591 73 84 52 1 27 1 23 2008 -1928 18844 209 -350 -204  
202470591 71 84 60 1 29 1 25 36 2716 18160 184 -441 -38  
202471591 72 84 56 1 28 1 24 620 1188 18848 -132 -334 -116  
202472591 72 82 52 1 27 1 23 1432 -2156 17724 -38 -414 -211  
