0 24 23 18 17 16 16 16 1500 3280 17104 184 -52 506
200 24 24 14 14 13 10 13 -344 72 16800 164 -755 -453
400 24 24 10 11 9 11 9 1188 -324 17272 102 -684 -626
600 23 23 11 11 12 13 12 1064 -296 21284 162 -1096 -138
800 23 23 15 15 15 15 15 1228 400 17308 162 -347 13
1000 23 23 17 17 16 15 15 -132 552 16496 437 -670 -777
1200 23 23 13 12 12 11 12 8 -1136 19872 -6 -685 -255
1400 22 23 10 10 10 7 11 2700 -400 17408 260 -596 -154
1600 22 23 11 12 12 12 14 532 404 18204 204 -336 -505
1800 22 23 15 15 15 15 16 5544 40 19296 -159 1381 -139
2000 22 23 17 16 15 15 15 2568 -344 17308 20 221 -414
2200 22 23 15 14 13 13 13 144 -476 18168 8 -397 -285
2400 23 24 11 11 11 11 13 -252 4092 21580 -518 -329 -154
2600 23 23 11 11 12 13 11 -168 1372 18252 128 -457 -182
2800 23 23 16 9 15 15 14 776 -660 18320 402 -458 -287
3000 23 24 18 17 15 15 15 -4204 -1588 17704 4 -369 -1033
3200 24 23 14 13 12 12 12 3420 -2020 20092 145 -596 -422
3400 23 23 11 10 10 11 12 2068 -572 18828 38 -570 -134
3600 23 23 11 12 12 13 14 -1748 -2756 29152 1025 -2951 -322
3800 23 23 15 15 15 13 15 188 852 15988 8 -253 -100
4000 24 23 16 15 14 14 14 -1180 280 20264 409 -571 -105
4200 23 24 13 12 11 11 12 5736 -164 14744 -593 2947 -208
4400 24 23 11 10 10 11 13 1488 252 19084 97 -213 -339
4600 23 23 11 12 13 13 15 -104 -544 18444 105 -360 -298
4800 24 23 16 16 15 16 16 4404 128 10364 -137 1760 -5
5000 22 23 17 16 15 15 35 -1304 -688 19056 -62 -846 -965
5200 23 23 14 12 12 12 12 1584 1200 19056 365 -618 -762
5400 23 23 11 10 10 11 12 -1504 380 23504 169 -2070 -749
5600 6 5 13 12 13 13 16 -3516 304 18228 3 -984 277
5800 1 0 16 15 15 15 15 -2348 220 17792 260 -671 617
6000 0 0 16 16 14 14 13 2228 -244 18396 259 -409 174
6200 0 0 12 12 11 11 11 1484 -140 18364 219 -478 -153
6400 0 0 10 10 10 11 12 1120 -132 18324 213 -450 -139
6600 0 0 13 10 12 14 14 1072 -96 18420 216 -471 -137
6800 0 0 16 15 15 15 15 1172 -144 18436 212 -468 -130
7000 0 0 15 15 14 14 13 1084 -136 18328 228 -486 -133
7200 0 0 12 12 11 10 11 1012 -56 18356 207 -431 -160
7400 0 0 10 9 10 11 12 1040 -168 18236 216 -479 -119
7600 0 0 12 12 13 14 15 1056 -60 18516 245 -485 -149
7800 0 0 16 15 15 15 15 1140 -208 18404 165 -444 -118
8000 0 0 15 15 14 14 13 1144 -160 18412 222 -469 -144
8200 0 0 12 14 11 10 11 1132 -84 18332 177 -427 -124
8400 0 0 12 12 13 14 15 996 -160 18276 175 -440 -150
8600 0 0 13 14 15 15 15 1000 -88 18436 237 -467 -154
8800 0 0 21 21 21 21 22 1136 -56 18260 234 -472 -125
9000 0 0 19 18 18 17 17 1096 -52 18392 201 -433 -156
9200 0 0 20 19 19 19 18 1072 -124 18352 196 -455 -117
9400 0 0 11 11 12 13 13 1020 -120 18424 192 -417 -140
9600 0 0 12 13 14 14 15 1104 -56 18444 190 -449 -145
9800 0 0 16 16 18 14 14 924 -116 18332 193 -462 -147
10000 0 0 17 16 15 15 14 1056 -248 18496 190 -437 -138
10200 0 0 13 12 12 12 10 1112 -100 18536 196 -449 -125
10400 0 0 10 10 10 11 12 1144 -208 18376 227 -472 -142
10600 210 -464 255 109 17 225 192 0 0 3339 3342 3588 10495
10800 0 0 14 15 15 15 15 1096 -260 18324 216 -477 -149
11000 0 0 16 16 14 15 15 1236 -120 18188 225 -474 -144
11200 0 0 14 13 12 12 12 1112 0 18280 195 -451 -147
11400 0 0 10 10 9 10 7 1016 -168 18396 227 -462 -145
11600 0 0 11 11 12 12 13 1016 -128 18364 249 -492 -136
