t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
4850916 0 0 61 1 38 172 194 0 -572 0 0 0 -145
4851173 0 0 62 1 33 171 194 0 -472 0 0 0 -211
4851944 0 0 62 1 33 172 193 0 -464 0 0 0 -193
4852972 0 0 62 1 35 171 194 0 -436 0 0 0 -162
4853229 0 0 60 1 36 172 194 0 -492 0 0 0 -198
4854257 0 0 60 1 35 171 194 0 -548 0 0 0 -210
4854514 0 0 60 1 35 173 194 0 -532 0 0 0 -205
4855285 0 0 61 1 34 172 195 0 -544 0 0 0 -136
4855542 0 0 60 1 35 171 193 0 -528 0 0 0 -146
4856313 0 0 61 2 40 174 196 0 -492 0 0 0 -193
4856570 0 0 60 2 34 173 195 0 -216 0 0 0 -147
4857341 25 24 31 1 38 177 197 0 -772 0 0 0 -295
4858369 11 19 36 1 38 177 197 0 -532 0 0 0 623
4859397 11 23 40 1 25 158 200 0 712 0 0 0 944
4860682 9 18 33 2 11 119 204 0 -500 0 0 0 556
4860939 11 20 42 1 25 112 203 0 -412 0 0 0 717
4861710 22 22 43 2 2 91 199 0 264 0 0 0 -328
4861967 24 22 32 1 14 86 195 0 -140 0 0 0 -193
4862738 19 19 35 1 15 84 188 0 52 0 0 0 -188
4862995 19 18 32 2 22 87 186 0 -1404 0 0 0 -317
4863766 21 21 34 1 29 78 175 0 104 0 0 0 -143
4864794 19 19 32 2 35 74 165 0 -332 0 0 0 -52
4865051 19 20 33 1 30 69 161 0 264 0 0 0 -37
4866079 19 19 33 1 34 60 149 0 96 0 0 0 -258
4867107 20 20 36 1 40 66 137 0 -552 0 0 0 -166
4867364 18 19 35 1 37 59 134 0 556 0 0 0 -61
4868135 20 19 30 1 37 34 127 0 260 0 0 0 -45
4868392 20 21 40 1 41 32 126 0 908 0 0 0 -248
4869163 20 18 36 2 42 39 122 0 224 0 0 0 -228
4869420 19 19 37 1 40 37 117 0 584 0 0 0 -169
4870191 21 20 36 3 45 45 112 0 -96 0 0 0 -177
4870448 21 20 39 5 46 42 110 0 -516 0 0 0 -221
4871476 21 21 37 1 55 48 101 0 -312 0 0 0 -32
4872504 19 20 38 3 58 43 96 0 -616 0 0 0 -134
4872761 19 20 39 4 60 40 94 0 -304 0 0 0 -153
4873789 20 19 40 13 64 45 89 0 -988 0 0 0 -260
4874817 18 19 42 20 74 72 86 0 -1452 0 0 0 -14
4875074 17 16 46 26 75 68 82 0 672 0 0 0 -204
4876102 18 21 42 32 85 84 79 0 8 0 0 0 317
4877130 0 6 37 56 85 95 71 0 1804 0 0 0 416
4877387 -2 10 38 50 89 67 71 0 -492 0 0 0 1884
4878158 -23 20 25 17 53 81 12 0 244 0 0 0 3607
4878415 -16 14 17 2 1 82 67 0 304 0 0 0 1624
4879186 -14 12 2 1 45 101 83 0 -724 0 0 0 2675
4880214 -14 15 37 1 49 62 73 0 -112 0 0 0 2216
4880471 -12 10 17 1 43 55 69 0 -256 0 0 0 1462
4881499 -17 17 26 2 44 19 98 0 -580 0 0 0 2945
4881756 -14 16 10 1 42 38 93 0 404 0 0 0 2264
4882527 -15 15 42 1 35 50 85 0 -608 0 0 0 2874
4882784 -16 15 76 2 35 50 53 0 652 0 0 0 2658
4883555 -16 14 75 2 29 43 94 0 -356 0 0 0 2264
4883812 -11 14 80 2 27 49 38 0 -760 0 0 0 1688
4884583 -14 12 84 39 30 65 45 0 -160 0 0 0 2366
4884840 -14 13 85 52 34 45 49 0 -488 0 0 0 2313
4885868 -3 2 64 82 30 36 44 0 20 0 0 0 -176
4886125 0 0 63 79 29 35 43 0 -172 0 0 0 -147
4886896 0 0 63 78 31 35 42 0 -128 0 0 0 -196
4887153 0 0 63 80 29 36 44 0 -256 0 0 0 -144
4887924 0 0 64 81 31 36 43 0 -192 0 0 0 -136
4888181 0 0 64 81 30 36 44 0 -152 0 0 0 -106
4889209 0 0 63 83 29 35 44 0 -240 0 0 0 -153
4891008 7 2 79 71 29 39 41 0 -580 0 0 0 -250
4891265 0 0 80 68 30 41 41 0 -92 0 0 0 -160
4892036 0 0 80 71 30 40 42 0 -216 0 0 0 -174
4892293 0 0 79 74 30 40 42 0 -332 0 0 0 -190
4893064 0 0 80 68 30 41 43 0 -240 0 0 0 -179
4893321 0 0 78 74 29 38 41 0 -304 0 0 0 -170
4894349 0 0 80 69 30 39 43 0 -240 0 0 0 -131
4895377 0 0 78 68 29 40 40 0 -304 0 0 0 -210
4895634 0 0 81 71 30 42 45 0 -268 0 0 0 -145
4897433 -4 2 73 76 28 34 41 0 4488 0 0 0 2752
4898718 25 13 68 80 30 26 42 0 -1124 0 0 0 -1390
4898975 26 13 71 84 29 26 42 0 764 0 0 0 -1264
4899746 16 8 77 79 30 34 42 0 -1184 0 0 0 -882
4900003 17 5 77 77 31 33 39 0 -732 0 0 0 -1440
4900774 22 15 90 68 37 36 43 0 -1680 0 0 0 -841
4901031 22 14 89 69 38 39 48 0 380 0 0 0 -1024
4901802 19 8 86 45 38 41 44 0 -3196 0 0 0 -1090
4902059 20 9 82 31 51 43 42 0 488 0 0 0 -1151
4903344 20 11 76 1 35 52 39 0 -76 0 0 0 -1085
4904115 19 10 72 1 39 46 38 0 -2360 0 0 0 -1296
4904372 19 8 65 2 35 52 40 0 -3124 0 0 0 -1155
4905143 17 10 56 1 35 29 36 0 -552 0 0 0 -1033
4905400 18 9 58 1 34 32 36 0 436 0 0 0 -1071
4906171 22 9 57 1 54 52 37 0 -244 0 0 0 -1191
4906428 20 7 33 1 38 52 31 0 -1352 0 0 0 -1005
4907199 20 11 23 3 40 50 85 0 -804 0 0 0 -823
4907456 20 10 30 1 42 54 52 0 -24 0 0 0 -1233
4908484 19 10 9 44 48 58 1 0 -1480 0 0 0 -1013
4908741 18 9 4 2 51 52 1 0 -1028 0 0 0 -1123
4909512 20 10 22 1 53 54 1 0 -364 0 0 0 -911
4909769 19 10 1 1 55 60 1 0 -1672 0 0 0 -941
4910540 20 10 22 25 61 56 41 0 -868 0 0 0 -1103
4910797 20 10 19 26 63 57 34 0 -2512 0 0 0 -1011
4911568 18 9 43 15 69 56 33 0 1240 0 0 0 -1284
4911825 21 10 44 11 71 55 32 0 -1900 0 0 0 -1190
4913110 21 10 36 1 77 42 53 0 -740 0 0 0 -1241
4913881 4 2 62 2 92 49 41 0 -164 0 0 0 -212
4914138 0 0 61 1 93 49 42 0 -668 0 0 0 -154
4914909 0 0 62 1 93 49 41 0 -600 0 0 0 -190
4915166 0 0 61 1 92 49 41 0 -604 0 0 0 -191
4915937 0 0 61 1 93 49 41 0 -572 0 0 0 -175
4916965 0 0 61 1 94 49 41 0 -548 0 0 0 -188
4917222 0 0 61 1 93 49 43 0 -492 0 0 0 -181
4918250 0 0 61 1 93 49 41 0 -632 0 0 0 -187
4918507 0 0 62 1 93 49 41 0 -604 0 0 0 -204
4919278 0 0 62 1 93 49 42 0 -600 0 0 0 -208
4920306 0 0 61 1 93 49 41 0 -528 0 0 0 -198
4920563 0 0 63 2 94 51 44 0 -512 0 0 0 -157
4921334 0 0 62 1 93 49 41 0 -1144 0 0 0 -135
4922619 -20 -31 67 1 78 28 36 0 -1772 0 0 0 -1142
4923390 -10 -17 68 1 69 2 32 0 260 0 0 0 -753
4923647 -13 -19 63 3 68 3 30 0 -908 0 0 0 -915
4924418 -13 -20 50 1 62 34 31 0 288 0 0 0 -526
4924675 -16 -20 70 4 61 35 25 0 -816 0 0 0 -587
4925703 -13 -17 74 2 53 33 15 0 -808 0 0 0 -650
4925960 -12 -18 75 4 53 33 2 0 -1400 0 0 0 -651
4926731 -15 -21 74 2 50 41 2 0 492 0 0 0 -790
4926988 -16 -22 75 2 50 33 26 0 -1012 0 0 0 -963
4927759 -12 -18 78 2 46 38 35 0 40 0 0 0 -818
4928016 -14 -20 77 5 44 40 37 0 -176 0 0 0 -667
4928787 -15 -21 75 2 43 29 43 0 28 0 0 0 -600
4929815 -13 -19 78 1 37 29 53 0 192 0 0 0 -710
4930072 -14 -20 78 3 38 29 59 0 488 0 0 0 -779
4930843 -15 -21 81 5 37 58 71 0 -1608 0 0 0 -678
4931100 -17 -22 77 2 35 55 74 0 748 0 0 0 -547
4931871 -10 -16 79 4 33 21 87 0 -2320 0 0 0 -825
4933156 -15 -21 85 11 1 21 116 0 -1364 0 0 0 -467
4933413 -16 -20 87 19 1 29 120 0 696 0 0 0 -683
4934184 -13 -19 87 29 1 40 139 0 -1292 0 0 0 -769
4934441 -13 -20 88 35 1 46 145 0 352 0 0 0 -998
4935212 -16 -22 87 31 29 44 162 0 -1332 0 0 0 -556
4935469 -16 -22 84 8 26 49 168 0 -476 0 0 0 -770
4936240 -13 -19 78 1 26 67 183 0 -504 0 0 0 -799
4936497 -2 -3 78 1 27 63 183 0 -1152 0 0 0 -185
4937525 0 0 77 1 26 62 183 0 -468 0 0 0 -192
4938296 1 0 84 1 31 54 183 0 -1488 0 0 0 -644
4939324 24 13 37 1 2 100 175 0 -1144 0 0 0 -1032
4939581 24 15 31 1 27 103 172 0 -796 0 0 0 -834
4940352 0 0 34 1 29 103 171 0 -108 0 0 0 -1
4940609 0 -1 35 2 30 107 173 0 -4920 0 0 0 -205
4941894 -15 -22 43 1 26 125 171 0 -1268 0 0 0 -706
4942665 0 0 37 1 25 124 170 0 -720 0 0 0 -175
